     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa
       0           44.07681726         28.03418706         16.04263019         10.92047295        160.55894271       2317.42490197
       1           44.30815490         25.52626039         18.78189451        139.08189763        146.19540671      15493.11202457
       2           44.71736947         19.82143839         24.89593108        237.63990951        113.52243543      24041.81116321
       3           45.01467520         14.63833057         30.37634464        275.04063230         83.83745437      26830.04649777
       4           45.08032329         11.95339550         33.12692778        259.04400716         68.46014615      23929.52671274
       5           45.04924008         10.82270996         34.22653012        236.61186603         61.98442151      16355.17277563
       6           45.11402393          9.51004508         35.60397885        264.44454481         54.46645482       6232.50489454
       7           45.28555848          8.18617959         37.09937888        322.01527087         46.88433936      -3254.14364920
       8           45.38445326          8.97183232         36.41262094        349.36865676         51.38397302      -8803.99314271
       9           45.26434134         13.27505572         31.98928562        314.05348982         76.02963145      -8552.74402241
      10           45.00522286         19.54577051         25.45945235        217.46327362        111.94361514      -3101.86784065
      11           44.85279624         24.15662364         20.69617260        102.90609258        138.35114754       4858.41741676
      12           44.96902771         24.62037301         20.34865471        129.38040552        141.00715851      12046.66529671
      13           45.27198678         21.72787772         23.54410906        227.74855366        124.44109993      16031.22611588
      14           45.54005168         18.38622335         27.15382834        278.34183988        105.30259266      15717.04408925
      15           45.65662529         16.57553571         29.08108958        269.55141592         94.93232253      11046.43586353
      16           45.71801943         15.80276970         29.91524973        231.74512843         90.50649442       2729.09857246
      17           45.89117355         14.55329625         31.33787730        225.01077503         83.35044112      -7605.54387274
      18           46.19650981         12.76840691         33.42810290        264.39664379         73.12792444     -17314.14747886
      19           46.47225402         12.30320057         34.16905345        295.13483037         70.46356903     -23392.03121582
      20           46.56196386         14.78876498         31.77319888        277.36348467         84.69903062     -23805.62046484
      21           46.50760638         19.40841374         27.09919264        210.89570995        111.15693785     -18573.64807041
      22           46.52299679         23.24491232         23.27808448        144.55555121        133.12954419      -9708.32897281
      23           46.77276868         23.93789262         22.83487607        169.59780668        137.09841918        -88.25874119
      24           47.20243346         21.78310588         25.41932758        239.76672941        124.75740573       7795.10992773
      25           47.60466241         19.06863731         28.53602510        276.81186646        109.21095158      12386.35403270
      26           47.83897993         17.55042990         30.28855003        265.80448528        100.51579031      12955.16436081
      27           47.95598626         16.94055875         31.01542751        234.37511927         97.02290262       9479.45356602
      28           48.09780376         15.94747900         32.15032476        235.71506665         91.33528150       2878.35588222
      29           48.30514765         14.41837882         33.88676883        278.22608144         82.57773458      -4797.87247655
      30           48.45996752         13.93542814         34.52453937        311.88467213         79.81175283     -10849.78206832
      31           48.42783043         16.09968608         32.32814436        299.85347507         92.20701026     -13099.48777603
      32           48.23244749         20.46980224         27.76264525        239.57435881        117.23578065     -10976.31300062
      33           48.05871724         24.57423595         23.48448129        168.20358170        140.74291984      -5676.51853709
      34           48.07677030         26.09234379         21.98442651        164.93174712        149.43751079        667.00249760
      35           48.28252062         24.86605360         23.41646702        221.08645319        142.41423399       6053.59841037
      36           48.52853450         22.63203947         25.89649503        257.39499575        129.61946501       9153.88959277
      37           48.69957511         20.96019951         27.73937560        250.21411372        120.04441092       9271.49462065
      38           48.82569328         19.83137554         28.99431774        223.75534913        113.57934800       6268.91849177
      39           49.00842348         18.36524034         30.64318315        230.24520671        105.18241761        800.84387739
      40           49.26108239         16.58500030         32.67608209        277.28097302         94.98652865      -5467.07340110
      41           49.46400687         15.91024043         33.55376644        315.94994314         91.12200670     -10227.12504145
      42           49.49405665         17.67106968         31.82298698        311.58346157        101.20672510     -11532.39838715
      43           49.37673473         21.37617746         28.00055728        263.48880453        122.42682279      -8761.04487468
      44           49.27870438         24.84055470         24.43814969        206.17309448        142.26819524      -2799.08204455
      45           49.34237401         26.15373463         23.18863938        196.09652552        149.78911179       4611.68573248
      46           49.54644019         25.34501677         24.20142342        229.74316851        145.15737826      11709.28102535
      47           49.74544007         23.95453845         25.79090162        250.06319979        137.19375411      17102.34779082
      48           49.83574418         23.11864624         26.71709794        233.72009507        132.40638614      19737.61382251
      49           49.85482515         22.42403260         27.43079255        201.83389859        128.42815659      18943.53277564
      50           49.90529634         20.79601468         29.10928166        204.91395480        119.10408251      14809.66336706
      51           50.00209629         18.26308068         31.73901561        249.58104868        104.59732321       8538.10983238
      52           50.02935285         16.40979500         33.61955785        286.36121018         93.98308320       2191.84750051
      53           49.86397492         16.86510380         32.99887111        282.91042113         96.59075291      -2224.87750452
      54           49.52704167         19.48745230         30.03958937        243.68139137        111.60961189      -3725.37446476
      55           49.18658368         22.33207069         26.85451300        214.05926037        127.90146723      -2610.50476234
      56           49.00125446         23.50842005         25.49283441        243.67052220        134.63872020         47.23310183
      57           48.97608904         22.90267426         26.07341477        300.10291725        131.16945952       3111.64098802
      58           48.98859102         21.90949855         27.07909246        326.88399785        125.48128879       5672.17925840
      59           48.94736184         21.61087291         27.33648892        302.22751957        123.77098356       6928.65391217
      60           48.89404134         21.59404215         27.29999920        241.30505049        123.67458948       6187.04793153
      61           48.93129672         20.76151035         28.16978638        197.27274592        118.90646741       3263.51272368
      62           49.07052277         19.05740266         30.01312010        216.98515725        109.14660788      -1061.52512571
      63           49.19105552         17.91689695         31.27415858        256.53961963        102.61464061      -5158.77085006
      64           49.16897260         18.78054824         30.38842436        264.52961671        107.56099192      -7351.92408102
      65           49.02729064         21.37405725         27.65323339        237.05648533        122.41467980      -6803.58370311
      66           48.92777167         23.81529811         25.11247357        212.47323269        136.39628914      -3773.28935109
      67           49.00662454         24.51751140         24.48911314        234.08152147        140.41804385        830.17173123
      68           49.23804153         23.75835663         25.47968490        278.34271742        136.07017079       6017.74323325
      69           49.47794894         23.14518836         26.33276058        296.86733027        132.55839960      10864.92677406
      70           49.63315170         23.62067083         26.01248087        271.62379099        135.28160908      14329.73148840
      71           49.75925243         24.32357346         25.43567897        222.53113912        139.30731177      15295.21696054
      72           49.97654292         23.62153724         26.35500568        205.94925151        135.28657121      13106.19438240
      73           50.30437789         21.12690054         29.17747735        248.04052744        120.99915030       8186.48178569
      74           50.60816719         18.37027428         32.23789292        296.32718160        105.21124828       2057.86777663
      75           50.72482666         17.32478965         33.40003701        308.51304377         99.22349105      -3414.12757609
      76           50.62979616         18.40823741         32.22155875        281.53244631        105.42867283      -6973.58457247
      77           50.45994397         20.18098121         30.27896276        248.64243169        115.58162893      -8371.12929326
      78           50.36642355         21.04036762         29.32605593        256.29629853        120.50355420      -8029.17924043
      79           50.36141615         20.96125640         29.40015975        296.87208445        120.05046402      -6502.27009063
      80           50.32847658         21.31056861         29.01790797        321.37235096        122.05106421      -4323.80911669
      81           50.17880621         23.00574540         27.17306080        302.34082141        131.75977423      -2229.30527493
      82           49.96809753         25.21626080         24.75183674        248.65784485        144.41995995      -1212.57325434
      83           49.83569279         26.17422001         23.66147277        206.40222939        149.90643681      -2053.78915749
      84           49.83779969         25.17660412         24.66119558        220.73645955        144.19283602      -4652.60961239
      85           49.87440033         23.42479675         26.44960358        256.66340683        134.15978822      -7872.62806463
      86           49.80195820         22.66939105         27.13256715        262.20497382        129.83338703     -10170.60279741
      87           49.60442766         23.19835144         26.40607622        228.56621465        132.86287815     -10497.13195138
      88           49.42231296         23.51733672         25.90497623        195.86110079        134.68978826      -8696.78803119
      89           49.40215968         22.13899641         27.26316327        224.49451095        126.79568158      -5196.31156792
      90           49.53783468         19.44519371         30.09264096        290.67659006        111.36758617       -506.86731434
      91           49.68514752         17.46550503         32.21964249        334.55439843        100.02940393       4852.12186443
      92           49.73091366         17.78186916         31.94904450        331.14626443        101.84130202      10032.26994672
      93           49.72080107         19.89874222         29.82205885        290.46315703        113.96517423      13735.55313101
      94           49.80089634         21.87498850         27.92590783        251.92774613        125.28364093      14711.70806501
      95           50.04340485         22.44937017         27.59403468        253.72646640        128.57327128      12559.49274041
