istep  E_tot                                     E_kin                                    E_pot                F_norm                Temp                   Pressure              COM_momentum  CV_value     Inst_Bias     Tot_Bias
none   kJ/mol                                    kJ/mol                                   kJ/mol               kJ/(Åmol)             K                      Pa                    gÅ/fs         kJ/mol       kJ/mol
0      100.12407152                              78.61893340                              21.50513812          33.92869556           286.53589526           299711.30745393       0.00000000    0.53143402   0.00000000    0.00000000
1      100.11616284                              78.58529501                              21.53086783          39.75057064           286.41329621           209416.55576892       0.00000000    0.53223752   0.00000000    0.00000000
2      100.10927534                              78.45248977                              21.65678556          53.72883169           285.92927199           116994.20412841       0.00000000    0.53303892   0.00000000    0.00000000
3      100.10358590                              78.22117839                              21.88240752          71.17182313           285.08623060           22689.77638581        0.00000000    0.53383846   0.00000000    0.00000000
4      100.09931854                              77.89294924                              22.20636931          90.00452579           283.88996109           -73309.66691765       0.00000000    0.53463629   0.00000000    0.00000000
5      100.09669118                              77.47025126                              22.62643992          109.40033487          282.34938889           -170801.42908644      0.00000000    0.53543257   0.00000000    0.00000000
6      100.09591299                              76.95637087                              23.13954212          128.97569389          280.47649171           -269567.92939941      0.00000000    0.53622743   0.00000000    0.00000000
7      100.09718204                              76.35539917                              23.74178287          148.51759626          278.28618007           -369377.71341419      0.00000000    0.53702103   0.00000000    0.00000000
8      100.10068305                              75.67218979                              24.42849326          167.88761451          275.79614362           -469986.62407366      0.00000000    0.53781349   0.00000000    0.00000000
9      100.10658535                              74.91230782                              25.19427753          186.98399973          273.02666494           -571139.12315340      0.00000000    0.53860495   0.00000000    0.00000000
10     100.11504094                              74.08197035                              26.03307060          205.72504661          270.00040292           -672569.75087700      0.00000000    0.53939554   0.00000000    0.00000000
11     100.12618280                              73.18797941                              26.93820339          224.04114475          266.74214842           -774004.70985319      0.00000000    0.54018535   0.00000000    0.00000000
12     100.14012339                              72.23764807                              27.90247531          241.87072723          263.27855475           -875163.55798258      0.00000000    0.54097449   0.00000000    0.00000000
13     100.15695340                              71.23872054                              28.91823286          259.15810967          259.63784656           -975760.99365816      0.00000000    0.54176306   0.00000000    0.00000000
14     100.17674079                              70.19928722                              29.97745357          275.85230764          255.84951028           -1075508.71545965     0.00000000    0.54255112   0.00000000    0.00000000
15     100.19953002                              69.12769579                              31.07183424          291.90638853          251.94397001           -1174117.33762791     0.00000000    0.54333875   0.00000000    0.00000000
16     100.22534166                              68.03245933                              32.19288233          307.27712853          247.95225267           -1271298.34191493     0.00000000    0.54412598   0.00000000    0.00000000
17     100.25417216                              66.92216259                              33.33200957          321.92485059          243.90564640           -1366766.04594059     0.00000000    0.54491285   0.00000000    0.00000000
18     100.28599403                              65.80536760                              34.48062643          335.81337298          239.83535647           -1460239.56795852     0.00000000    0.54569939   0.00000000    0.00000000
19     100.32075623                              64.69051964                              35.63023659          348.91002721          235.77216274           -1551444.76793726     0.00000000    0.54648558   0.00000000    0.00000000
20     100.35838487                              63.58585488                              36.77253000          361.18572029          231.74608284           -1640116.14510123     0.00000000    0.54727140   0.00000000    0.00000000
21     100.39878418                              62.49931061                              37.89947357          372.61502584          227.78604521           -1725998.67254390     0.00000000    0.54805684   0.00000000    0.00000000
