     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa
       0           52.69405239         36.65142321         16.04262918         10.92032865        209.91205295       3510.12501463
       1           52.75030860         34.04782609         18.70248252        147.85497381        195.00058788      11648.04921281
       2           52.96023850         28.07470713         24.88553137        251.67777982        160.79101145      16139.71118159
       3           53.02879864         22.80502127         30.22377737        284.92619171        130.61017591      16795.07951114
       4           52.84702490         20.35814565         32.48887925        249.82678528        116.59629485      14062.04272491
       5           52.59103413         19.49043375         33.10060037        195.07578805        111.62668741       8609.93018454
       6           52.50009343         18.00437439         34.49571904        213.54955672        103.11564628       1667.59461599
       7           52.59523097         15.94379917         36.65143179        289.71205400         91.31420620      -4642.64842407
       8           52.65974304         15.76906295         36.89068009        335.76469819         90.31344725      -7890.27160325
       9           52.49967779         19.29800365         33.20167414        313.03137891        110.52459109      -6711.26477214
      10           52.18273185         25.01097937         27.17175248        228.24852288        143.24426081      -1793.80030867
      11           51.97874837         28.98838618         22.99036218        149.66577081        166.02388456       4517.33665127
      12           52.06584708         28.63817968         23.42766740        199.04385732        164.01816253       9701.41891650
      13           52.33546483         25.16027147         27.17519336        289.80032168        144.09929477      12323.71201117
      14           52.51782689         22.06350450         30.45432239        327.91418016        126.36332014      12135.83773707
      15           52.48286649         21.45668012         31.02618636        295.68127995        122.88788210       9362.88735587
      16           52.37196549         22.25489212         30.11707337        223.32218619        127.45944590       4281.43427422
      17           52.41385741         22.13498845         30.27886896        194.70423343        126.77272698      -2399.82138840
      18           52.64457997         20.73612192         31.90845805        247.62264444        118.76106141      -9022.61862180
      19           52.86095700         20.24565636         32.61530064        294.41471481        115.95204000     -13320.89832894
      20           52.86278843         22.66119682         30.20159162        279.59422504        129.78645655     -13677.95604662
      21           52.70150784         26.97224679         25.72926105        201.45939353        154.47693980     -10226.63895769
      22           52.64436069         29.66542984         22.97893085        121.10725784        169.90148634      -4727.62957281
      23           52.89008765         28.15859971         24.73148794        175.87406590        161.27148568        663.31952959
      24           53.35585460         23.40379323         29.95206137        274.82142885        134.03949569       4576.93958205
      25           53.77304751         18.81433406         34.95871345        326.70592002        107.75449197       6607.91374087
      26           53.97995484         16.78602848         37.19392636        319.70797522         96.13786832       6709.62130664
      27           54.08143694         16.69550315         37.38593379        287.11005039         95.61940671       4811.04083484
      28           54.30324641         16.44556416         37.85768225        289.73959978         94.18794233       1199.26383128
      29           54.71709406         15.52960649         39.18748757        337.50844450         88.94201901      -2893.22710141
      30           55.15431021         15.90604473         39.24826547        372.67251795         91.09797690      -5469.59240195
      31           55.40453405         19.59528775         35.80924630        349.21498449        112.22721299      -4892.62191432
