     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0           53.28649829         51.25078616          2.03571213          0.99576878        293.52632988       7068.93903488          0.00000000
       1           53.65663084         45.59074301          8.06588783        231.51957967        261.10981845      -9345.19649736          0.00000000
       2           54.44467571         33.53763294         20.90704276        397.05099483        192.07858157     -24143.93965831          0.00000000
       3           54.90134675         24.83481143         30.06653532        452.04821050        142.23530206     -31184.18937653          0.00000000
       4           54.71012689         24.15326723         30.55685966        394.75960491        138.33192455     -27658.90700185          0.00000000
       5           54.30412794         27.01245741         27.29167053        292.66714799        154.70723626     -15728.78978297          0.00000000
       6           54.34108591         25.93995715         28.40112875        304.20511848        148.56475363       -528.40406022          0.00000000
       7           54.93761266         19.68504033         35.25257233        429.76808692        112.74124893      13324.20030035          0.00000000
       8           55.52871326         14.96753627         40.56117699        516.01250348         85.72289946      23447.91341302          0.00000000
       9           55.51122390         18.74905347         36.76217043        492.85718777        107.38061337      28724.50786263          0.00000000
      10           54.94681381         29.77309094         25.17372287        360.15578914        170.51808891      27789.62698677          0.00000000
      11           54.52786591         39.06300744         15.46485847        200.71030545        223.72381122      19506.48101003          0.00000000
      12           54.83025630         39.09955946         15.73069683        256.95519477        223.93315397       5234.45473315          0.00000000
      13           55.67825959         31.63427902         24.04398057        420.81264422        181.17758797      -9915.20526909          0.00000000
      14           56.33229316         25.49805733         30.83423584        505.05916671        146.03388057     -19061.90646355          0.00000000
      15           56.29591757         26.86800209         29.42791548        471.62214109        153.87990377     -17677.33331476          0.00000000
      16           55.84225685         32.84524936         22.99700748        352.26283238        188.11312412      -6312.70021506          0.00000000
      17           55.67476143         35.39189593         20.28286550        266.45651901        202.69841883      10384.48301736          0.00000000
      18           56.11617138         30.94157524         25.17459615        334.23021738        177.21029665      27075.78476108          0.00000000
      19           56.75168518         24.63280473         32.11888045        425.16899690        141.07835819      40191.96241135          0.00000000
      20           56.92863705         24.34320763         32.58542941        426.24258254        139.41976170      47689.25034350          0.00000000
      21           56.53236225         31.40144088         25.13092137        323.39300875        179.84406452      47642.22601939          0.00000000
      22           56.14437581         38.65676156         17.48761424        198.47213499        221.39713741      38373.19937818          0.00000000
      23           56.40267129         38.18846279         18.21420850        264.28370693        218.71507083      20573.79749363          0.00000000
      24           57.29426768         29.99167490         27.30259278        416.42660141        171.76997506      -1050.70927131          0.00000000
      25           58.17639219         21.93170260         36.24468959        493.99849851        125.60845704     -19162.90392501          0.00000000
      26           58.49007660         21.15076902         37.33930758        460.18664797        121.13585115     -27742.95161417          0.00000000
      27           58.35595810         26.61528457         31.74067353        349.51929978        152.43252605     -25376.26618084          0.00000000
      28           58.39369398         30.96786809         27.42582589        291.42160045        177.36088250     -15193.22119958          0.00000000
      29           58.99120539         29.26785423         29.72335116        387.60476750        167.62446935      -2028.06666078          0.00000000
      30           59.85864335         24.60825542         35.25038793        501.75445911        140.93775800      10217.54792224          0.00000000
      31           60.36291264         24.36333857         35.99957406        528.24552470        139.53505673      18916.64271780          0.00000000
      32           60.25628105         31.45161070         28.80467035        444.86661157        180.13139990      21624.14527083          0.00000000
      33           59.97882046         40.51914268         19.45967778        294.82050287        232.06346925      15987.66719133          0.00000000
      34           60.19831664         43.36020307         16.83811357        229.68603988        248.33494707       1601.95630461          0.00000000
      35           61.09873505         37.60147142         23.49726363        344.02958511        215.35322146     -18010.75960006          0.00000000
      36           62.19665872         29.12157468         33.07508404        451.70372356        166.78668907     -35906.39855099          0.00000000
      37           62.87673412         25.66194335         37.21479077        467.61834050        146.97249765     -45110.04087592          0.00000000
