     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0           23.20028518          7.92818154         15.27210364         48.88585293         45.40671870      -2222.80444449          0.00000000
       1           23.08351417          7.33217492         15.75133926         92.18653308         41.99323668      -4417.05706181          0.00000000
       2           22.93479199          6.50571868         16.42907331        128.47566527         37.25991095      -6459.76488043          0.00000000
       3           22.74348825          5.61776355         17.12572470        155.50206899         32.17436533      -8219.60655846          0.00000000
       4           22.69997343          5.01325338         17.68672005        172.19720014         28.71218133      -9562.58925844          0.00000000
       5           22.65020784          4.61705245         18.03315540        178.92330354         26.44303747     -10467.13736436          0.00000000
       6           22.49030172          4.33990408         18.15039763        176.73808933         24.85573808     -10923.72322391          0.00000000
       7           22.14337320          4.05508097         18.08829223        167.88820514         23.22448346     -10953.72190008          0.00000000
       8           21.82966943          3.89021272         17.93945671        155.96500965         22.28024088     -10583.26420664          0.00000000
       9           21.48157486          3.68287699         17.79869787        145.10293390         21.09277627      -9909.77939315          0.00000000
      10           21.39429631          3.66702317         17.72727314        138.94483699         21.00197741      -8993.37195079          0.00000000
      11           21.17496754          3.43395818         17.74100936        138.95020453         19.66715471      -7952.84865411          0.00000000
      12           21.19526083          3.38772528         17.80753555        143.71709663         19.40236713      -6835.30010043          0.00000000
      13           21.43686579          3.56938452         17.86748127        150.11260618         20.44277596      -5669.59269054          0.00000000
      14           21.34705265          3.49091164         17.85614101        155.07488420         19.99334175      -4549.88038282          0.00000000
      15           21.06662651          3.35886523         17.70776128        155.45519127         19.23707827      -3557.74122449          0.00000000
      16           21.18005190          3.78569474         17.39435716        149.49360927         21.68163974      -2672.57513890          0.00000000
      17           21.09997896          4.17687446         16.92310450        136.57916723         23.92202584      -1952.90245720          0.00000000
      18           20.95782330          4.59127464         16.36654867        117.53151842         26.29540139      -1427.44146796          0.00000000
      19           21.04950070          5.23120321         15.81829749         94.31171045         29.96043564      -1072.33436180          0.00000000
      20           20.96858973          5.60637775         15.36221198         70.04688457         32.10915595       -934.05258427          0.00000000
      21           21.09564484          6.01674971         15.07889513         52.53368302         34.45946088       -943.09346407          0.00000000
      22           21.60775791          6.61035664         14.99740127         52.74337587         37.85919922      -1035.35036490          0.00000000
      23           21.84042320          6.72307188         15.11735131         70.14857812         38.50474818      -1254.42238765          0.00000000
      24           22.07512636          6.67832517         15.39680118         92.62545740         38.24847235      -1490.61212098          0.00000000
