     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0           81.03414819         64.99151901         16.04262918         10.92032865        372.22301307       7431.77793556          0.00000000
       1           81.79177738         58.93476121         22.85701617        244.20341362        337.53441565      10870.80612301          0.00000000
       2           82.94823702         46.06207666         36.88616035        419.04586225        263.80926658      10137.72064282          0.00000000
       3           83.71518765         36.66464944         47.05053822        479.18536630        209.98780292       7235.27849651          0.00000000
       4           83.80574826         35.26866951         48.53707874        425.94138390        201.99266971       3475.02140880          0.00000000
       5           83.71312249         37.04365095         46.66947154        335.87106520        212.15844129      -1605.20252683          0.00000000
       6           84.10063723         34.83299663         49.26764059        358.96128672        199.49745994      -8548.48971651          0.00000000
       7           85.01509942         28.37552131         56.63957811        479.91417350        162.51385103     -15842.13439170          0.00000000
       8           85.83192402         24.96537731         60.86654670        554.54917745        142.98308622     -20260.71755556          0.00000000
       9           85.98775826         30.82073611         55.16702216        514.64544801        176.51822012     -19708.48125542          0.00000000
      10           85.65025410         43.19243798         42.45781612        363.31842519        247.37411360     -15540.14130201          0.00000000
      11           85.55459739         52.41038611         33.14421128        184.11367871        300.16765464     -11694.98616456          0.00000000
      12           86.19611018         51.71742297         34.47868720        235.23992851        296.19887794     -11377.15227017          0.00000000
      13           87.29901338         43.94779339         43.35121999        392.87107296        251.70022676     -14633.58606974          0.00000000
      14           88.15068165         37.81359783         50.33708381        466.15585874        216.56812356     -19106.04749931          0.00000000
      15           88.40082567         38.29409157         50.10673410        431.66365575        219.32003384     -22758.42480103          0.00000000
      16           88.42076352         41.95485935         46.46590417        339.53945668        240.28618500     -25443.39584279          0.00000000
      17           88.84227972         42.06292290         46.77935683        313.88399012        240.90509251     -27816.30566202          0.00000000
      18           89.82088461         37.20205256         52.61883204        398.83151891        213.06564778     -29280.27517796          0.00000000
      19           90.85859350         33.34312533         57.51546817        471.71240645        190.96458686     -27715.96590298          0.00000000
      20           91.37862698         36.96734673         54.41128024        451.43684969        211.72142760     -21584.52844114          0.00000000
      21           91.39993431         47.10094486         44.29898945        327.90926278        269.75912983     -12111.04939993          0.00000000
      22           91.54749745         55.45587514         36.09162231        165.53215943        317.60994743      -2947.09422836          0.00000000
      23           92.37715046         54.80246776         37.57468269        208.48341060        313.86771667       2621.27544929          0.00000000
      24           93.76515619         46.41909353         47.34606266        364.13583792        265.85399328       4156.17907414          0.00000000
      25           95.04458914         38.43657060         56.60801854        441.40891017        220.13604759       3778.98307663          0.00000000
      26           95.73332676         37.05442487         58.67890189        408.87558128        212.22014628       3635.59875000          0.00000000
      27           96.03464573         40.48616376         55.54848197        308.06370272        231.87459057       3976.53235107          0.00000000
      28           96.55369164         42.19397301         54.35971863        277.85701176        241.65564995       3799.86077978          0.00000000
      29           97.57085613         39.31028343         58.26057270        385.33347743        225.14002392       2954.03565185          0.00000000
      30           98.71739677         36.32877692         62.38861985        483.96043619        208.06417534       2942.79798290          0.00000000
      31           99.41910084         39.79378592         59.62531491        484.78707304        227.90916605       5302.12571068          0.00000000
      32           99.57672087         50.20165566         49.37506522        376.70085120        287.51769176       9393.74478393          0.00000000
      33           99.68920180         60.52990593         39.15929587        221.46175287        346.67021647      12297.39472724          0.00000000
      34          100.28629912         63.18208561         37.10421352        224.04741592        361.85992625      11200.61538001          0.00000000
      35          101.33396751         57.61094476         43.72302275        371.61749477        329.95258104       5898.18049315          0.00000000
      36          102.28844174         50.30893469         51.97950705        466.76151036        288.13210617      -1121.16053700          0.00000000
      37          102.71715738         47.57067354         55.14648384        461.61056013        272.44938582      -6918.81138470          0.00000000
      38          102.77177883         49.30843169         53.46334715        379.14794737        282.40197015     -10231.23639002          0.00000000
      39          102.99473193         50.52383732         52.47089461        307.19380769        289.36290833     -11454.43200473          0.00000000
      40          103.70214881         48.14468912         55.55745969        339.01729670        275.73691951     -11018.43077065          0.00000000
      41          104.64473225         45.05166650         59.59306575        409.89293237        258.02238973      -8395.75478884          0.00000000
      42          105.31399770         46.67534029         58.63865741        421.94484840        267.32158385      -3015.28978354          0.00000000
      43          105.53285087         54.21142548         51.32142538        350.22932662        310.48266670       4067.31840463          0.00000000
      44          105.66070457         62.38530568         43.27539889        245.95432224        357.29656430       9940.24743553          0.00000000
      45          106.18595880         64.50800318         41.67795562        252.61060153        369.45379454      11708.74840614          0.00000000
      46          107.17076108         59.28762117         47.88313991        366.06855247        339.55533471       8744.07426570          0.00000000
      47          108.17677126         51.88357777         56.29319348        444.91027159        297.15048889       3050.87251793          0.00000000
      48          108.75068563         48.19763011         60.55305552        436.73703411        276.04012606      -2554.26524132          0.00000000
      49          108.91216880         48.92718371         59.98498509        360.56839826        280.21846569      -6511.88515860          0.00000000
      50          109.09294998         49.91288144         59.18006854        308.40707702        285.86380810      -8846.60012762          0.00000000
      51          109.61316109         47.93364314         61.67951795        366.53637626        274.52820534      -9876.82591395          0.00000000
      52          110.30887575         44.92901945         65.37985630        456.01601663        257.31995879      -9217.93400897          0.00000000
      53          110.73208220         45.71839995         65.01368226        483.74791660        261.84094232      -6413.52343064          0.00000000
      54          110.66920905         52.01814875         58.65106030        428.70564920        297.92121118      -2363.32867464          0.00000000
      55          110.36588475         59.83409284         50.53179191        339.25334946        342.68511741        422.59602519          0.00000000
      56          110.21243763         63.27060539         46.94183223        325.81780154        362.36690165       -540.36348075          0.00000000
      57          110.28393508         60.37952831         49.90440678        410.65342280        345.80896547      -5648.23436428          0.00000000
      58          110.27795481         54.55182548         55.72612934        488.49012135        312.43222433     -12750.01681575          0.00000000
      59          109.89916175         50.31100758         59.58815417        499.71782331        288.14397813     -18666.15398251          0.00000000
      60          109.21979050         48.65850025         60.56129025        448.12616173        278.67964696     -21104.05664478          0.00000000
      61          108.60158828         47.15320419         61.44838409        382.58886039        270.05843236     -19285.72053823          0.00000000
      62          108.28571291         44.08954278         64.19617014        359.37463505        252.51206167     -13258.13313800          0.00000000
      63          108.12714237         41.44185284         66.68528953        368.53157538        237.34806582      -3254.66029686          0.00000000
      64          107.77261746         42.93088805         64.84172941        350.82522898        245.87615040       9919.03913310          0.00000000
      65          107.07511620         49.44211353         57.63300267        281.08338554        283.16760017      24072.91532353          0.00000000
      66          106.27203311         57.23107478         49.04095833        210.92066806        327.77696876      35804.32380342          0.00000000
      67          105.72433689         61.22059494         44.50374195        258.76325897        350.62596870      42101.83526924          0.00000000
      68          105.51589629         59.84797168         45.66792460        373.51818716        342.76460507      42158.06125655          0.00000000
      69          105.37334950         56.10430501         49.26904450        446.77763662        321.32367074      37726.07587907          0.00000000
      70          104.99614698         53.74949707         51.24664990        441.44311478        307.83708484      31722.20460710          0.00000000
      71          104.40905283         53.18351371         51.22553912        378.25682452        304.59555367      26469.01863929          0.00000000
      72          103.92323924         51.71956042         52.20367882        338.35636908        296.21111967      23110.14254634          0.00000000
      73          103.75337805         47.72911725         56.02426080        390.11202254        273.35683338      22220.47335303          0.00000000
