     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum            CV_value           Inst_Bias            Tot_Bias
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs                                  kJ/mol              kJ/mol
       0           43.99377968         27.73266385         16.26111583         10.92944349        158.83204234       2280.44185094          0.00000000          1.12074949          0.00000000          0.00000000
       1           43.97500107         27.69984076         16.27516031         20.59710529        158.64405610       2614.26108508          0.00000000          1.12090157          0.00000000          0.00000000
       2           43.95662953         27.60273587         16.35389366         36.51828547        158.08791163       2927.76274330          0.00000000          1.12105424          0.00000000          0.00000000
       3           43.93880371         27.44218495         16.49661876         53.29048947        157.16839555       3220.52410768          0.00000000          1.12120784          0.00000000          0.00000000
       4           43.92169356         27.21971835         16.70197520         70.20211887        155.89427258       3492.53839543          0.00000000          1.12136262          0.00000000          0.00000000
       5           43.90546292         26.93750388         16.96795904         87.04703415        154.27795827       3743.98909433          0.00000000          1.12151881          0.00000000          0.00000000
       6           43.89026756         26.59832315         17.29194441        103.72020251        152.33538371       3975.24442304          0.00000000          1.12167663          0.00000000          0.00000000
       7           43.87625340         26.20554074         17.67071266        120.14762911        150.08581858       4186.84997475          0.00000000          1.12183634          0.00000000          0.00000000
       8           43.86355480         25.76306623         18.10048857        136.26784275        147.55165418       4379.51936476          0.00000000          1.12199814          0.00000000          0.00000000
       9           43.85229311         25.27530984         18.57698327        152.02565224        144.75814889       4554.12299781          0.00000000          1.12216227          0.00000000          0.00000000
      10           43.84257524         24.74713193         19.09544331        167.36970609        141.73313919       4711.67509420          0.00000000          1.12232893          0.00000000          0.00000000
      11           43.83449246         24.18378707         19.65070540        182.25145988        138.50671945       4853.31913471          0.00000000          1.12249835          0.00000000          0.00000000
      12           43.82811944         23.59086342         20.23725602        196.62473553        135.11089441       4980.31190369          0.00000000          1.12267072          0.00000000          0.00000000
      13           43.82351334         22.97421795         20.84929539        210.44555451        131.57920845       5094.00632662          0.00000000          1.12284624          0.00000000          0.00000000
      14           43.82071327         22.33990844         21.48080483        223.67210699        127.94635603       5195.83331321          0.00000000          1.12302509          0.00000000          0.00000000
      15           43.81973983         21.69412299         22.12561683        236.26479236        124.24777802       5287.28282912          0.00000000          1.12320743          0.00000000          0.00000000
      16           43.82059497         21.04310795         22.77748702        248.18629855        120.51924876       5369.88442906          0.00000000          1.12339344          0.00000000          0.00000000
      17           43.82326204         20.39309502         23.43016702        259.40170274        116.79645882       5445.18749022          0.00000000          1.12358326          0.00000000          0.00000000
