     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure
                        kJ/mol              kJ/mol              kJ/mol         kJ/(mol Å)                   K                  Pa
       0           45.54626252         45.00407652          0.54218600          0.00000000        257.74982979       6227.58544516
       1           61.09241549         45.04978630         16.04262918         10.92032865        258.01162138       4672.27582011
       2           61.43136717         40.78323930         20.64812788        198.65889805        233.57601798     -21329.27675743
       3           62.08823234         31.37476604         30.71346630        346.95954422        179.69129091     -42709.60348835
       4           62.51606870         24.02428284         38.49178586        409.69557645        137.59319806     -54103.10320138
       5           62.46449259         22.37681748         40.08767510        387.76470969        128.15774355     -53357.58721952
       6           62.23217127         23.32857066         38.90360061        338.31664452        133.60867685     -42437.78220663
       7           62.30271567         21.36369771         40.93901797        359.61371244        122.35534807     -26346.90973909
       8           62.77349475         15.41266771         47.36082704        451.17801166         88.27228076     -10904.07109932
       9           63.22137216         10.42242404         52.79894811        519.33376562         59.69188196       -836.24747398
      10           63.16005094         11.80765144         51.35239951        505.84530984         67.62543271       1063.38532242
      11           62.58019169         19.01609730         43.56409439        407.01193701        108.91004150      -5899.61047962
      12           61.96869255         25.54086728         36.42782528        278.46319681        146.27906407     -20129.60920269
      13           61.78138174         25.58600319         36.19537855        252.74230826        146.53756898     -37557.14947167
      14           61.95035451         20.15911124         41.79124327        342.41311915        115.45637404     -52255.59993509
      15           61.96971205         15.90510241         46.06460965        404.35985597         91.09257994     -58357.69432424
      16           61.46272686         17.94518914         43.51753772        381.41047063        102.77667725     -52571.70497269
      17           60.60129065         24.55241147         36.04887917        290.25146989        140.61792547     -35748.72151618
      18           59.91586326         29.40976849         30.50609477        226.89678669        168.43724854     -12448.23679274
      19           59.71303680         28.78742918         30.92560762        292.68858070        164.87295254      11099.71493493
      20           59.75229479         25.57746035         34.17483444        383.74751990        146.48864197      29215.39285172
      21           59.54157959         25.71016646         33.83141313        403.84569440        147.24868368      38066.73731287
      22           58.91939270         31.03315197         27.88624073        331.64816381        177.73477996      36077.95132449
      23           58.26843146         36.73191460         21.53651685        208.81935974        210.37304771      24143.52164858
      24           58.11263316         36.33748664         21.77514652        197.00407583        208.11405809       5882.24051435
      25           58.53851560         28.87489609         29.66361951        326.90782068        165.37389782     -12702.13224080
      26           59.08476430         20.22327732         38.86148698        426.16347750        115.82386950     -24854.06796046
      27           59.22807317         17.10146399         42.12660918        436.79451233         97.94444801     -25665.32844037
      28           58.93095648         20.23108200         38.69987449        364.98267736        115.86856889     -14205.13545788
      29           58.64952878         24.10509977         34.54442901        275.75522085        138.05605722       6196.59499929
      30           58.80161367         23.44956739         35.35204628        277.68427461        134.30165602      29595.87358892
      31           59.29209615         19.11019523         40.18190092        348.71714126        109.44896437      49779.50289511
      32           59.61900680         16.87120828         42.74779852        379.24864082         96.62571478      61957.00936832
      33           59.43280014         20.64764165         38.78515850        326.88973788        118.25431232      63454.46798498
      34           58.92470264         27.70959131         31.21511133        220.52201662        158.69990000      53992.73898831
      35           58.61974227         31.28267420         27.33706807        206.36884501        179.16385746      36013.67524666
      36           58.80829353         27.70952748         31.09876604        340.60245882        158.69953445      14664.88548745
      37           59.23941860         20.37063104         38.86878756        463.92341936        116.66780189      -3353.77334907
      38           59.40508206         16.13670747         43.26837459        506.31209547         92.41904121     -12168.38110181
      39           59.09798233         18.25031740         40.84766493        456.88578553        104.52422465      -9220.48423960
      40           58.63307390         23.32077915         35.31229475        351.32384732        133.56405288       3663.29474921
      41           58.49746744         25.51399302         32.98347442        278.95200593        146.12514835      21254.13682612
      42           58.81969475         23.15826203         35.66143272        311.69697018        132.63327586      37171.80795619
      43           59.24050040         20.47615398         38.76434642        368.49677825        117.27215868      45985.21647275
      44           59.32008709         22.63575609         36.68433100        366.10033983        129.64075101      44349.78952109
      45           59.02904987         29.67579228         29.35325758        291.81066246        169.96083469      31407.09707170
      46           58.78482723         36.03737746         22.74744977        199.26198467        206.39525627       9015.97610630
      47           58.99814344         36.24096378         22.75717966        214.11095442        207.56124705     -18189.27942785
      48           59.62934706         30.54125372         29.08809334        308.00741384        174.91755318     -43547.84917345
      49           60.23725503         24.49169634         35.74555869        365.11180184        140.27019443     -60321.64565670
      50           60.45797980         23.03659096         37.42138884        355.35787485        131.93643460     -64213.09207107
      51           60.38368611         25.61167101         34.77201510        312.98294288        146.68457511     -55060.49727078
      52           60.43514054         27.40460048         33.03054006        319.06749999        156.95313970     -36698.39361444
      53           60.88724917         25.06363579         35.82361338        393.98308206        143.54583757     -15207.53739507
      54           61.57730235         20.41724336         41.16005900        463.11799306        116.93476250       3268.36917286
      55           62.10227966         18.24249554         43.85978412        467.98311876        104.47942686      14090.33027087
      56           62.26629682         20.78987716         41.47641967        394.93939399        119.06893136      14892.22341233
      57           62.28170655         25.20172542         37.07998113        274.35687784        144.33671212       5955.30510059
      58           62.51831374         26.58915743         35.92915631        201.54586941        152.28288927      -9629.40178184
      59           63.08989947         23.30766766         39.78223181        262.98413059        133.48896005     -26401.51670925
      60           63.72860046         18.70457049         45.02402996        346.85968674        107.12584801     -38022.07668939
      61           64.07288073         17.56397249         46.50890824        376.22234306        100.59335219     -39554.01218452
      62           64.04845231         21.18659417         42.86185815        347.59063695        121.34103091     -29459.92258202
      63           63.93160092         26.34835873         37.58324220        303.07354739        150.90377365     -10194.72325010
      64           64.03737947         29.03325261         35.00412686        301.49463101        166.28084602      12877.25265707
      65           64.38104939         28.68683831         35.69421108        339.90841011        164.29684292      33499.09139644
      66           64.67984316         28.36448694         36.31535622        361.58813319        162.45065436      46414.48921964
      67           64.68241298         30.80606421         33.87634877        335.55955126        176.43419041      48571.85863640
      68           64.45674803         34.94332631         29.51342172        279.35955398        200.12934614      39710.96132276
      69           64.32104420         36.76351706         27.55752714        258.18039474        210.55404302      22529.63602324
      70           64.49994399         33.57841799         30.92152600        309.28359273        192.31216793       2288.99507613
      71           64.88668631         27.01539544         37.87129086        372.83162958        154.72406314     -14471.58365477
      72           65.16528410         21.49888029         43.66640382        392.50054449        123.12957322     -22031.93476625
      73           65.14887992         19.90809282         45.24078710        355.43095024        114.01872744     -17603.24565339
      74           64.96325160         21.05546611         43.90778549        289.01177491        120.59002707      -2368.65738297
      75           64.88731033         21.51100760         43.37630273        254.72425319        123.19902942      19092.98735375
      76           65.03980281         19.57683881         45.46296400        284.91906169        112.12155123      40587.86224177
      77           65.25585452         17.06153255         48.19432197        329.46572245         97.71575047      56313.20528200
      78           65.27476072         17.08360622         48.19115450        345.31376610         97.84217198      62316.98808427
      79           65.02308922         20.45394739         44.56914182        335.65242855        117.14497590      57249.07638969
      80           64.68922149         24.58877814         40.10044335        336.99186424        140.82620666      42596.51608883
      81           64.51977856         26.07772514         38.44205342        376.76170636        149.35378607      22459.16450138
      82           64.55998108         24.14689322         40.41308786        433.69291974        138.29541898       2659.05740198
      83           64.60889416         21.39436212         43.21453204        467.85557491        122.53097102     -10918.77334008
      84           64.43082101         21.09705238         43.33376863        457.30959844        120.82820224     -14336.46836638
      85           63.99909622         23.93864694         40.06044929        407.37024583        137.10273935      -7085.84149946
      86           63.52072665         27.50315475         36.01757190        349.28245471        157.51758515       7727.61944484
      87           63.22375844         28.90956402         34.31419441        323.73154802        165.57244994      24587.44035734
      88           63.13404074         27.72384524         35.41019550        336.50040080        158.78153588      37512.75738197
      89           63.06977530         26.13423438         36.93554092        350.95089027        149.67742892      41875.74545653
      90           62.84977823         26.34576576         36.50401247        337.99513988        150.88892308      35549.37741886
      91           62.49233819         28.05420776         34.43813043        299.77229511        160.67360636      19323.43078404
      92           62.19822861         28.69984152         33.49838709        267.83060109        164.37131565      -3275.87265661
      93           62.14010475         26.22803387         35.91207087        276.87821850        150.21464253     -26737.16599056
      94           62.28084710         21.44146190         40.83938520        316.50566576        122.80072347     -44945.22436053
      95           62.40972058         17.45553671         44.95418387        350.24404520         99.97231281     -53021.79412071
      96           62.35716273         16.78060506         45.57655767        360.71517291         96.10680703     -49024.25606884
      97           62.16506159         19.00097807         43.16408352        356.41254971        108.82344981     -34706.64586182
      98           62.03934856         21.37919516         40.66015341        358.87609515        122.44410592     -14898.34072956
      99           62.13928474         21.69369885         40.44558589        377.77131300        124.24534883       4229.16855560
     100           62.42283764         20.37042483         42.05241281        398.37780774        116.66662086      17188.29044825
     101           62.70277596         19.77679317         42.92598279        399.21682289        113.26674086      20682.58250999
     102           62.84940089         21.50647257         41.34292832        372.47985742        123.17305614      14248.21376715
     103           62.92976435         24.53233377         38.39743058        332.33914105        140.50293534        149.79069294
     104           63.14072558         26.18261470         36.95811088        310.96318170        149.95451533     -17229.58849656
     105           63.60209522         24.96494389         38.63715133        327.83424820        142.98060390     -32424.56841717
     106           64.22194683         22.30161950         41.92032733        360.27424172        127.72706554     -40350.13691948
     107           64.77945027         21.28272400         43.49672627        372.72302600        121.89159100     -37953.62487206
     108           65.14633495         23.59965750         41.54667745        349.81035875        135.16126035     -25443.57112181
     109           65.41721595         27.76169264         37.65552331        305.45548489        158.99829763      -6406.01013315
     110           65.80981430         30.45690193         35.35291237        281.13864670        174.43444895      13424.48940085
     111           66.43586068         29.72816845         36.70769223        307.72961035        170.26080634      28237.79734641
     112           67.17785854         26.77612699         40.40173154        356.77824232        153.35371168      34105.62415020
     113           67.79898494         24.58701769         43.21196726        382.90588148        140.81612410      30030.52952076
     114           68.17678320         24.81457008         43.36221311        366.35013831        142.11937473      17910.20936542
     115           68.42353636         26.13866057         42.28487579        320.35783745        149.70277883       1776.12167026
     116           68.76611560         25.81270708         42.95340852        290.31414314        147.83595999     -13262.42144577
     117           69.30292630         22.78086780         46.52205850        314.42185555        130.47184283     -22208.70959672
     118           69.89128239         19.03574150         50.85554090        363.63913467        109.02254885     -21501.43063328
     119           70.29158229         17.68707680         52.60450550        387.43869597        101.29840197     -10252.51017611
     120           70.42120615         19.73185586         50.68935029        364.95451962        113.00937341       9155.15951978
     121           70.44469204         22.98905528         47.45563676        310.84301819        131.66418564      31634.56049264
     122           70.59834548         24.39170512         46.20664037        270.97653480        139.69751915      51084.90238491
     123           70.93767063         23.19729935         47.74037129        285.09580945        132.85685254      62469.23358287
     124           71.28286257         21.65725749         49.62560508        329.90456718        124.03663985      63322.04547242
     125           71.42056870         22.44025690         48.98031180        365.51087876        128.52107728      54168.28778248
     126           71.34009691         25.63308874         45.70700817        384.36765309        146.80723992      38011.59158809
     127           71.24803980         28.58957848         42.65846132        403.08304156        163.73981109      19379.43029218
     128           71.34711358         28.79705642         42.55005716        433.90056564        164.92809020       3237.82845179
     129           71.61754477         26.65107213         44.96647263        464.13551633        152.63749058      -6211.43226190
     130           71.83740066         25.09380797         46.74359269        468.11094077        143.71864138      -6805.48648489
