     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0         1327.59804453       1194.29020277        133.30784176        520.59206689        295.55576014     147409.45634744          0.00000000
       1         1335.41013136       1133.13188682        202.27824454        982.20474657        280.42066775     122176.61923217          0.00000000
       2         1331.94101272       1036.97061787        294.97039485       1362.17386683        256.62325497      83516.24945446          0.00000000
       3         1319.73293307        931.04187894        388.69105413       1636.65625918        230.40864743      39122.29608298          0.00000000
       4         1301.22394731        836.90395813        464.31998917       1794.09409388        207.11196068      -3548.18595654          0.00000000
       5         1291.42333338        780.21895145        511.20438193       1835.41510466        193.08389597     -37232.70192256          0.00000000
       6         1277.03382827        747.65172640        529.38210187       1775.08302410        185.02435489     -61667.30096424          0.00000000
       7         1257.10637581        730.11650604        526.98986977       1640.61834599        180.68484396     -77349.47834856          0.00000000
       8         1246.69607809        729.66469561        517.03138248       1475.30315602        180.57303264     -84408.40098520          0.00000000
       9         1247.90494716        735.40204242        512.50290474       1335.28704726        181.99287674     -85612.04538752          0.00000000
      10         1251.05705591        728.82505567        522.23200024       1277.36460067        180.36524359     -84912.11055390          0.00000000
      11         1250.94477869        702.76941493        548.17536376       1324.90932179        173.91715025     -84320.46387334          0.00000000
      12         1257.29832216        672.47804578        584.82027638       1445.79796550        166.42082430     -82147.63169029          0.00000000
      13         1255.26278152        633.40295608        621.85982543       1583.50877966        156.75075600     -78865.20032108          0.00000000
      14         1256.80091047        609.83589604        646.96501443       1688.32713576        150.91852165     -70862.45940747          0.00000000
      15         1253.63777342        603.09751603        650.54025739       1729.92353380        149.25094787     -57784.18028110          0.00000000
      16         1251.79623753        623.62640705        628.16983049       1693.60570927        154.33131441     -38740.94685736          0.00000000
      17         1253.49266995        671.26698771        582.22568224       1578.83552353        166.12111893     -15017.36465561          0.00000000
      18         1245.76719562        724.63988432        521.12731130       1397.53263129        179.32952254       8445.63242026          0.00000000
      19         1251.00738074        793.58531276        457.42206797       1176.44759259        196.39172272      30563.04836973          0.00000000
      20         1251.15987094        848.03352073        403.12635021        957.01314067        209.86623793      45022.37729615          0.00000000
      21         1259.38809784        891.57280463        367.81529321        804.98114979        220.64107818      50797.09525001          0.00000000
      22         1261.48709904        906.09343997        355.39365907        784.00717681        224.23455772      44921.37261026          0.00000000
      23         1270.08373774        906.03648719        364.04725054        885.44074209        224.22046339      30220.73271793          0.00000000
      24         1271.58328643        884.34848557        387.23480086       1035.81556370        218.85324712       7559.47048104          0.00000000
      25         1269.75308334        853.82082741        415.93225593       1172.28744298        211.29844579     -18618.58638207          0.00000000
      26         1261.13752106        819.66998366        441.46753740       1261.66930084        202.84700027     -44684.99943581          0.00000000
      27         1265.91221560        808.10492651        457.80728908       1291.08856107        199.98494945     -64320.72252445          0.00000000
      28         1254.09972434        790.82516007        463.27456426       1262.78183643        195.70865673     -79666.69402977          0.00000000
      29         1253.06897284        793.35420819        459.71476465       1189.96877004        196.33453035     -85952.25862397          0.00000000
      30         1251.04649634        799.21154729        451.83494905       1096.53068323        197.78406942     -85262.58558215          0.00000000
      31         1250.08659339        804.95921418        445.12737921       1015.55441985        199.20646747     -78499.77564633          0.00000000
      32         1258.34422068        814.42451642        443.91970426        980.36486520        201.54888357     -65984.94585452          0.00000000
      33         1264.72077497        814.60898604        450.11178892       1007.27265902        201.59453501     -50511.09572063          0.00000000
      34         1273.56022699        810.92640151        462.63382548       1083.86649875        200.68319112     -32376.76254269          0.00000000
      35         1269.20025948        791.23567726        477.96458222       1179.73925869        195.81024905     -14172.41189522          0.00000000
      36         1263.53509319        772.41212185        491.12297135       1263.70813798        191.15190871       5439.82240668          0.00000000
      37         1266.04743277        768.36106458        497.68636819       1314.82965739        190.14937741      27561.23696786          0.00000000
      38         1259.23319800        763.97567769        495.25752031       1323.36645561        189.06410823      49257.33235606          0.00000000
      39         1267.06922618        783.08673186        483.98249433       1288.52004829        193.79359703      72553.04022450          0.00000000
      40         1273.35457096        806.75960545        466.59496551       1218.25259031        199.65201748      93727.57031917          0.00000000
      41         1277.74226634        830.06391870        447.67834763       1128.56995640        205.41922884     110737.66068677          0.00000000
      42         1279.42664509        847.15763602        432.26900907       1041.99862541        209.64947924     121613.85365293          0.00000000
      43         1273.10611872        848.70273106        424.40338766        982.73372553        210.03185008     124319.33448372          0.00000000
      44         1273.86403036        847.88652169        425.97750867        966.47259733        209.82985949     120542.78761116          0.00000000
      45         1284.76021826        848.29286175        436.46735651        991.01495503        209.93041808     111303.14723667          0.00000000
      46         1292.80968787        839.25366394        453.55602393       1039.46054873        207.69345175      96184.71263132          0.00000000
      47         1294.16379309        820.45814018        473.70565290       1090.30746110        203.04204851      76796.60600040          0.00000000
      48         1308.04298940        814.90928811        493.13370129       1126.28841360        201.66885196      58413.36583756          0.00000000
      49         1320.24339871        811.04539276        509.19800596       1138.52084514        200.71263836      41358.30498600          0.00000000
      50         1330.75422900        810.29305817        520.46117083       1125.00859808        200.52645512      27608.67270337          0.00000000
      51         1338.44123639        811.47948055        526.96175585       1090.11763499        200.82006380      18330.57912876          0.00000000
      52         1339.04858932        809.13741620        529.91117311       1043.50456366        200.24046379      13530.06394327          0.00000000
      53         1344.53706272        813.47574927        531.06131344        998.20681079        201.31408838      14836.86381802          0.00000000
      54         1347.62182614        815.52536638        532.09645976        966.92494759        201.82131530      20699.02935264          0.00000000
      55         1363.92655778        829.92502416        534.00153362        957.69738092        205.38485605      32474.47662248          0.00000000
      56         1362.89050328        825.97689865        536.91360463        970.41883560        204.40779768      45043.36528345          0.00000000
      57         1368.96362831        829.02760676        539.93602156        996.63997260        205.16276859      60753.89527153          0.00000000
      58         1377.07243845        835.35695071        541.71548774       1024.44743591        206.72911658      78046.60693780          0.00000000
      59         1374.59077297        833.62491787        540.96585510       1043.21406856        206.30048350      94211.05533972          0.00000000
      60         1379.95333558        843.03713468        536.91620090       1046.03446520        208.62976234     110674.70451297          0.00000000
      61         1387.14312196        857.40920545        529.73391652       1031.46530905        212.18647602     125556.59946891          0.00000000
      62         1397.23308380        876.65954727        520.57353652       1003.16352275        216.95043489     137828.81876937          0.00000000
      63         1396.43124078        885.10996941        511.32127136        969.16954232        219.04169457     144462.19007624          0.00000000
      64         1401.00139489        896.87679094        504.12460396        940.17874272        221.95367682     146804.57378724          0.00000000
