     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0        321.05348627        339.51826505        -18.46477878          3.00447272        272.23108329     349044.14506522          0.00000000
       1        321.05348566        339.51776605        -18.46428039          3.00970732        272.23068319     348861.94888753          0.00000000
       2        321.05348475        339.51589256        -18.46240781          3.02195000        272.22918099     348694.21316727          0.00000000
       3        321.05343004        339.51263378        -18.45920374          3.04131591        272.22656805     348540.84888890          0.00000000
       4        321.05342849        339.50797508        -18.45454659          3.06802172        272.22283263     348402.32208393          0.00000000
       5        321.05353380        339.50189803        -18.44836423          3.10236939        272.21795996     348278.94445885          0.00000000
       6        321.05353158        339.49438030        -18.44084872          3.14475685        272.21193213     348170.16040212          0.00000000
       7        321.05342197        339.48539558        -18.43197362          3.19567546        272.20472804     348076.15027178          0.00000000
       8        321.05341904        339.47491343        -18.42149439          3.25572344        272.19632328     347997.82915716          0.00000000
       9        321.05341574        339.46289900        -18.40948325          3.32557504        272.18668992     347935.07077389          0.00000000
      10        321.05346565        339.44931337        -18.39584772          3.40599564        272.17579675     347888.30702621          0.00000000
      11        321.05340798        339.43411319        -18.38070522          3.49782617        272.16360901     347857.28377180          0.00000000
      12        321.05345704        339.41725046        -18.36379342          3.60198858        272.15008821     347843.01928676          0.00000000
      13        321.05345216        339.39867247        -18.34522031          3.71945838        272.13519208     347845.31348771          0.00000000
      14        321.05344687        339.37832176        -18.32487490          3.85128162        272.11887456     347864.70516955          0.00000000
      15        321.05344114        339.35613595        -18.30269481          3.99854268        272.10108563     347901.58336682          0.00000000
      16        321.05343496        339.33204770        -18.27861273          4.16237113        272.08177129     347956.36549796          0.00000000
      17        321.05337477        339.30598463        -18.25260986          4.34393436        272.06087351     348029.31988579          0.00000000
      18        321.05336768        339.27786911        -18.22450143          4.54442379        272.03833005     348121.27784077          0.00000000
      19        321.05336011        339.24761822        -18.19425810          4.76506489        272.01407441     348232.56653693          0.00000000
      20        321.05340562        339.21514373        -18.16173812          5.00710565        271.98803586     348363.89836085          0.00000000
      21        321.05345063        339.18035205        -18.12690142          5.27181672        271.96013933     348515.65966044          0.00000000
      22        321.05344160        339.14314409        -18.08970250          5.56050436        271.93030541     348688.26640382          0.00000000
      23        321.05327136        339.10341558        -18.05014422          5.87449599        271.89845046     348881.98523268          0.00000000
      24        321.05326124        339.06105684        -18.00779560          6.21513566        271.86448656     349098.53443021          0.00000000
      25        321.05325069        339.01595260        -17.96270191          6.58381554        271.82832127     349338.06046934          0.00000000
      26        321.05323968        338.96798236        -17.91474268          6.98195984        271.78985798     349601.26981928          0.00000000
      27        321.05322819        338.91702066        -17.86379247          7.41102367        271.74899609     349888.89415449          0.00000000
      28        321.05321622        338.86293731        -17.80972109          7.87250092        271.70563121     350201.68875300          0.00000000
      29        321.05320381        338.80559761        -17.75239380          8.36792260        271.65965533     350540.43033762          0.00000000
      30        321.05313749        338.74486279        -17.69172531          8.89885369        271.61095720     350905.73656690          0.00000000
      31        321.05312426        338.68059034        -17.62746608          9.46689904        271.55942254     351298.77373978          0.00000000
      32        321.05321782        338.61263463        -17.55941681         10.07368715        271.50493458     351720.54266708          0.00000000
      33        321.05320393        338.54084758        -17.48764365         10.72087132        271.44737460     352171.16160534          0.00000000
      34        321.05318979        338.46507936        -17.41188956         11.41012246        271.38662244     352651.81835049          0.00000000
      35        321.05306832        338.38517962        -17.33211130         12.14311708        271.32255758     353162.98435819          0.00000000
      36        321.05310756        338.30099841        -17.24789085         12.92152877        271.25505976     353706.36566917          0.00000000
      37        321.05309314        338.21238718        -17.15929405         13.74700957        271.18400989     354282.04744262          0.00000000
      38        321.05297162        338.11920062        -17.06622901         14.62117703        271.10929144     354890.62068877          0.00000000
      39        321.05301104        338.02129804        -16.96828700         15.54559185        271.03079161     355533.70575641          0.00000000
      40        321.05294379        337.91854508        -16.86560129         16.52174244        270.94840267     356211.09467168          0.00000000
      41        321.05293053        337.81081600        -16.75788547         17.55100723        270.86202380     356923.93939957          0.00000000
      42        321.05291795        337.69799581        -16.64507786         18.63464058        270.77156279     357672.60514237          0.00000000
      43        321.05295966        337.57998298        -16.52702332         19.77373335        270.67693825     358457.72064772          0.00000000
      44        321.05284210        337.45669208        -16.40384998         20.96918237        270.57808167     359278.91936983          0.00000000
      45        321.05293980        337.32805623        -16.27511643         22.22165087        270.47493943     360137.66332653          0.00000000
      46        321.05293184        337.19403046        -16.14109863         23.53152920        270.36747546     361032.96117530          0.00000000
      47        321.05292561        337.05459537        -16.00166975         24.89888494        270.25567420     361965.07957799          0.00000000
      48        321.05286789        336.90976036        -15.85689247         26.32343489        270.13954322     362933.56702382          0.00000000
      49        321.05286601        336.75956729        -15.70670128         27.80448017        270.01911605     363938.29928688          0.00000000
      50        321.05286670        336.60409443        -15.55122772         29.34086375        269.89445547     364978.39013493          0.00000000
      51        321.05287027        336.44346012        -15.39058985         30.93092091        269.76565635     366052.88109860          0.00000000
      52        321.05276965        336.27782623        -15.22505658         32.57242881        269.63284849     367160.18604059          0.00000000
      53        321.05277951        336.10740180        -15.05462229         34.26255840        269.49619951     368299.49525224          0.00000000
      54        321.05284645        335.93244658        -14.87960013         35.99782785        269.35591766     369468.79736606          0.00000000
      55        321.05291722        335.75327430        -14.70035708         37.77406251        269.21225451     370665.75237171          0.00000000
      56        321.05299197        335.57025507        -14.51726310         39.58635723        269.06550681     371887.85462846          0.00000000
      57        321.05301709        335.38381722        -14.33080013         41.42904871        268.91601801     373132.06675543          0.00000000
      58        321.05309980        335.19444875        -14.14134896         43.29569609        268.76417940     374395.52552883          0.00000000
      59        321.05324021        335.00269801        -13.94945780         45.17907257        268.61043064     375674.65059344          0.00000000
      60        321.05317044        334.80917287        -13.75600243         47.07117262        268.45525914     376964.61553056          0.00000000
      61        321.05331876        334.61453903        -13.56122027         48.96322985        268.29919867     378262.56171239          0.00000000
      62        321.05336355        334.41951723        -13.36615368         50.84575728        268.14282713     379562.81484509          0.00000000
      63        321.05341158        334.22487881        -13.17146724         52.70860125        267.98676298     380860.82556724          0.00000000
      64        321.05340884        334.03144001        -12.97803117         54.54101835        267.83166071     382151.24872009          0.00000000
      65        321.05346189        333.84005501        -12.78659312         56.33176913        267.67820520     383429.05422148          0.00000000
      66        321.05351654        333.65160716        -12.59809063         58.06923571        267.52710476     384688.51325635          0.00000000
      67        321.05346502        333.46699917        -12.41353415         59.74155518        267.37908316     385923.61486067          0.00000000
      68        321.05357414        333.28714159        -12.23356745         61.33677299        267.23487053     387129.55665668          0.00000000
      69        321.05362885        333.11294032        -12.05931147         62.84301065        267.09519321     388299.97586422          0.00000000
      70        321.05368181        332.94528360        -11.89160179         64.24864771        266.96076342     389429.51799547          0.00000000
      71        321.05373207        332.78502817        -11.73129609         65.54251094        266.83226809     390512.85300948          0.00000000
      72        321.05372512        332.63298511        -11.57925999         66.71406838        266.71035758     391544.76009971          0.00000000
      73        321.05382078        332.48990582        -11.43608504         67.75362275        266.59563435     392521.10145886          0.00000000
      74        321.05391105        332.35646850        -11.30255745         68.65249900        266.48864221     393437.30181911          0.00000000
      75        321.05388807        332.23326562        -11.17937756         69.40321741        266.38985621     394289.31331072          0.00000000
      76        321.05391188        332.12079246        -11.06688058         69.99965524        266.29967346     395074.57265131          0.00000000
      77        321.05387487        332.01943771        -10.96556285         70.43717807        266.21840563     395790.27925710          0.00000000
      78        321.05393731        331.92947568        -10.87553837         70.71275050        266.14627266     396435.21992747          0.00000000
      79        321.05393830        331.85106080        -10.79712250         70.82501302        266.08339837     397007.84449829          0.00000000
      80        321.05393142        331.78422485        -10.73029343         70.77432732        266.02980825     397508.06225225          0.00000000
      81        321.05391680        331.72887644        -10.67495964         70.56278416        265.98542903     397936.35439002          0.00000000
      82        321.05389476        331.68480343        -10.63090867         70.19417840        265.95009059     398293.93882474          0.00000000
      83        321.05375861        331.65167754        -10.59791893         69.67394879        265.92352974     398582.38644657          0.00000000
      84        321.05372327        331.62906113        -10.57533786         69.00908600        265.90539555     398805.00330770          0.00000000
      85        321.05384302        331.61641636        -10.56257334         68.20801150        265.89525677     398965.17493529          0.00000000
      86        321.05379726        331.61311601        -10.55931875         67.28043379        265.89261049     399065.59010944          0.00000000
      87        321.05374759        331.61845556        -10.56470798         66.23718115        265.89689183     399111.01434811          0.00000000
      88        321.05369494        331.63166685        -10.57797192         65.09002343        265.90748486     399106.07482718          0.00000000
      89        321.05358674        331.65193184        -10.59834511         63.85148235        265.92373364     399055.53323355          0.00000000
      90        321.05353093        331.67839660        -10.62486567         62.53464027        265.94495350     398964.91213246          0.00000000
      91        321.05347491        331.71018529        -10.65671038         61.15294514        265.97044217     398839.34464844          0.00000000
      92        321.05347308        331.74641381        -10.69294073         59.72002489        265.99949077     398684.38152284          0.00000000
      93        321.05341904        331.78620236        -10.73278332         58.24950852        266.03139386     398505.02538702          0.00000000
      94        321.05342062        331.82868708        -10.77526646         56.75485856        266.06545877     398306.90557099          0.00000000
      95        321.05342479        331.87303052        -10.81960574         55.24921505        266.10101404     398094.96896469          0.00000000
      96        321.05337854        331.91843054        -10.86505200         53.74526003        266.13741649     397873.95928777          0.00000000
      97        321.05338929        331.96412808        -10.91073879         52.25508801        266.17405750     397648.90239816          0.00000000
      98        321.05324320        332.00941339        -10.95617019         50.79009922        266.21036797     397423.46827348          0.00000000
      99        321.05320819        332.05363042        -11.00042223         49.36090154        266.24582188     397202.60862727          0.00000000
     100        321.05323082        332.09618025        -11.04294943         47.97722963        266.27993900     396989.86807059          0.00000000
     101        321.05320398        332.13652336        -11.08331938         46.64787360        266.31228674     396788.25873848          0.00000000
     102        321.05318119        332.17418039        -11.12099920         45.38061910        266.34248074     396600.96532945          0.00000000
     103        321.05321594        332.20873198        -11.15551605         44.18221628        266.37018475     396430.81101117          0.00000000
     104        321.05320089        332.23981752        -11.18661663         43.05832276        266.39510962     396279.72868895          0.00000000
