     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0        353.94287044        372.40764996        -18.46477952          3.00447225        298.60230925     385453.55373740          0.00000000
       1        353.94287213        372.41264381        -18.46977168          3.01270848        298.60631339     385339.14686809          0.00000000
       2        353.94287364        372.41609854        -18.47322490          3.02918879        298.60908345     385239.45877002          0.00000000
       3        353.94287496        372.41803234        -18.47515738          3.05363494        298.61063400     385154.38408672          0.00000000
       4        353.94276897        372.41846142        -18.47569244          3.08582183        298.61097804     385083.47237779          0.00000000
       5        353.94271636        372.41739970        -18.47468334          3.12559067        298.61012674     385027.17381722          0.00000000
       6        353.94271713        372.41485883        -18.47214170          3.17284010        298.60808943     384985.41643082          0.00000000
       7        353.94277120        372.41084852        -18.46807733          3.22751978        298.60487391     384958.13848123          0.00000000
       8        353.94277160        372.40537626        -18.46260466          3.28965090        298.60048616     384944.93464155          0.00000000
       9        353.94271827        372.39844727        -18.45572900          3.35929247        298.59493038     384945.76585804          0.00000000
      10        353.94271830        372.39006473        -18.44734643          3.43657317        298.58820913     384960.95982957          0.00000000
      11        353.94277166        372.38022989        -18.43745823          3.52164582        298.58032340     384990.49902047          0.00000000
      12        353.94277132        372.36894168        -18.42617035          3.61473040        298.57127234     385034.02198023          0.00000000
      13        353.94277088        372.35619685        -18.41342597          3.71606569        298.56105334     385091.71154943          0.00000000
      14        353.94277018        372.34199016        -18.39921997          3.82592447        298.54966218     385163.58267766          0.00000000
      15        353.94276925        372.32631421        -18.38354495          3.94461768        298.53709296     385249.66153972          0.00000000
      16        353.94266102        372.30915980        -18.36649878          4.07246377        298.52333829     385349.62851998          0.00000000
      17        353.94265979        372.29051544        -18.34785565          4.20981536        298.50838895     385464.24203829          0.00000000
      18        353.94265838        372.27036754        -18.32770916          4.35703725        298.49223404     385593.20305280          0.00000000
      19        353.94271034        372.24870077        -18.30599043          4.51450715        298.47486129     385736.75550049          0.00000000
      20        353.94270859        372.22549786        -18.28278928          4.68261571        298.45625683     385894.61920173          0.00000000
      21        353.94270666        372.20073965        -18.25803299          4.86176075        298.43640531     386067.05656603          0.00000000
      22        353.94265103        372.17440530        -18.23175428          5.05234959        298.41529001     386253.98264388          0.00000000
      23        353.94270233        372.14647214        -18.20376981          5.25478982        298.39289276     386456.03219090          0.00000000
      24        353.94269992        372.11691562        -18.17421570          5.46950191        298.36919388     386672.78098727          0.00000000
      25        353.94269736        372.08570971        -18.14301235          5.69690583        298.34417250     386904.52313940          0.00000000
      26        353.94269466        372.05282686        -18.11013221          5.93742628        298.31780651     387151.38137866          0.00000000
      27        353.94269181        372.01823808        -18.07554627          6.19149126        298.29007268     387413.48431058          0.00000000
      28        353.94263529        371.98191310        -18.03927782          6.45953119        298.26094674     387690.78779448          0.00000000
      29        353.94263218        371.94382041        -18.00118822          6.74198062        298.23040342     387983.78547996          0.00000000
      30        353.94273601        371.90392750        -17.96119150          7.03927715        298.19841666     388292.79626800          0.00000000
      31        353.94273268        371.86220087        -17.91946819          7.35185389        298.16495959     388617.25302011          0.00000000
      32        353.94267566        371.81860614        -17.87593048          7.68015240        298.13000465     388957.47853140          0.00000000
      33        353.94267216        371.77310844        -17.83043628          8.02461212        298.09352388     389313.97406740          0.00000000
      34        353.94272210        371.72567248        -17.78295038          8.38567264        298.05548898     389686.88344941          0.00000000
      35        353.94271847        371.67626282        -17.73354435          8.76377359        298.01587154     390075.99266108          0.00000000
      36        353.94282193        371.62484406        -17.68202213          9.15934358        297.97464317     390481.97248644          0.00000000
      37        353.94287182        371.57138118        -17.62850936          9.57282518        297.93177579     390904.42062234          0.00000000
      38        353.94292166        371.51583965        -17.57291799         10.00463831        297.88724171     391343.63859373          0.00000000
      39        353.94286451        371.45818587        -17.51532137         10.45520162        297.84101401     391799.38537309          0.00000000
      40        353.94291442        371.39838750        -17.45547308         10.92491962        297.79306674     392272.47409807          0.00000000
      41        353.94291088        371.33641366        -17.39350278         11.41418844        297.74337513     392762.46023411          0.00000000
      42        353.94290743        371.27223546        -17.32932803         11.92338293        297.69191605     393269.59358855          0.00000000
      43        353.94290407        371.20582663        -17.26292256         12.45283941        297.63866840     393793.92655055          0.00000000
      44        353.94290092        371.13716358        -17.19426266         13.00292918        297.58361329     394335.49043416          0.00000000
      45        353.94284441        371.06622600        -17.12338159         13.57393594        297.52673442     394894.11347114          0.00000000
      46        353.94284168        370.99299744        -17.05015576         14.16612948        297.46801861     395470.12956627          0.00000000
      47        353.94283923        370.91746575        -16.97462652         14.77974144        297.40745611     396063.30795947          0.00000000
      48        353.94294424        370.83962389        -16.89667966         15.41495932        297.34504129     396673.91643097          0.00000000
      49        353.94304950        370.75947029        -16.81642079         16.07192029        297.28077287     397301.47257323          0.00000000
      50        353.94310164        370.67700935        -16.73390770         16.75070814        297.21465439     397945.63102709          0.00000000
      51        353.94310080        370.59225246        -16.64915166         17.45133725        297.14669499     398606.17758670          0.00000000
      52        353.94315385        370.50521833        -16.56206448         18.17375968        297.07690965     399283.20299316          0.00000000
      53        353.94315394        370.41593350        -16.47277957         18.91784669        297.00531967     399976.03463780          0.00000000
      54        353.94310109        370.32443360        -16.38133251         19.68338370        296.93195361     400684.29613628          0.00000000
      55        353.94315593        370.23076387        -16.28760794         20.47006622        296.85684775     401408.08177122          0.00000000
      56        353.94310440        370.13497971        -16.19187530         21.27748694        296.78004650     402146.17516534          0.00000000
      57        353.94310717        370.03714750        -16.09404033         22.10512867        296.70160310     402898.53354917          0.00000000
      58        353.94311073        369.93734537        -15.99423464         22.95235999        296.62158019     403664.32796259          0.00000000
      59        353.94316867        369.83566386        -15.89249519         23.81842350        296.54005036     404443.00622728          0.00000000
      60        353.94317396        369.73220650        -15.78903253         24.70242918        296.45709661     405233.40040873          0.00000000
      61        353.94323371        369.62709047        -15.68385676         25.60334715        296.37281293     406034.96781950          0.00000000
      62        353.94318733        369.52044716        -15.57725984         26.51999858        296.28730465     406846.18797382          0.00000000
      63        353.94319551        369.41242247        -15.46922696         27.45105496        296.20068875     407666.51624243          0.00000000
      64        353.94320473        369.30317745        -15.35997272         28.39502566        296.11309438     408494.60287766          0.00000000
      65        353.94321499        369.19288860        -15.24967360         29.35025744        296.02466304     409329.18094821          0.00000000
      66        353.94333336        369.08174812        -15.13841477         30.31492874        295.93554886     410169.24300954          0.00000000
      67        353.94334574        368.96996380        -15.02661806         31.28705327        295.84591843     411012.61969624          0.00000000
      68        353.94335917        368.85775891        -14.91439973         32.26447094        295.75595078     411858.11353095          0.00000000
