     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0          111.31589921        129.32926569        -18.01336648         10.39672799        259.24559682      17480.32995901          0.00000000
       1          111.97121355        118.32837191         -6.35715836        305.96402750        237.19387280      28312.68629411          0.00000000
       2          113.24306428         94.37987838         18.86318590        522.81648534        189.18817613      29509.42217945          0.00000000
       3          113.86397513         75.20342456         38.66055056        595.02754287        150.74822067      24380.60559014          0.00000000
       4          113.36755969         69.79986517         43.56769452        524.58840245        139.91657346      16084.37894187          0.00000000
       5          112.55015407         71.95770048         40.59245359        411.09223548        144.24203916       5441.45631403          0.00000000
       6          112.48974897         70.93459156         41.55515741        446.59626831        142.19117711      -6889.20909072          0.00000000
       7          113.26764881         66.01871431         47.24893450        599.45655548        132.33710792     -17415.36848773          0.00000000
       8          113.87774940         67.62912973         46.24861967        684.57785321        135.56524895     -20603.01276825          0.00000000
       9          113.42306376         83.70225621         29.72080755        617.61142298        167.78446277     -13463.89847816          0.00000000
      10          112.20178415        107.57537287          4.62641128        401.03535781        215.63906355        901.30135815          0.00000000
      11          111.41986289        122.11730861        -10.69744572        131.12877638        244.78894535      15022.20989379          0.00000000
      12          111.86308398        116.24590150         -4.38281752        284.07301472        233.01947900      22742.52252794          0.00000000
      13          113.03989387         95.76601659         17.27387728        515.18770534        191.96674467      23330.80729783          0.00000000
      14          113.74705066         76.77871490         36.96833576        610.05382338        153.90595207      20274.42435746          0.00000000
      15          113.39872411         69.28031045         44.11841366        554.39937933        138.87510559      16758.49267637          0.00000000
      16          112.61930736         69.03606567         43.58324169        416.21421049        138.38550734      13038.91428102          0.00000000
      17          112.45827329         65.87791009         46.58036319        370.30428139        132.05486034       8173.51356034          0.00000000
      18          113.14581638         57.82509235         55.32072403        485.30582291        115.91267062       3310.75622052          0.00000000
      19          113.83006796         54.17399677         59.65607119        580.86854269        108.59390601       2070.47905387          0.00000000
      20          113.59956162         64.00768057         49.59188106        552.70102284        128.30591174       7147.62906520          0.00000000
      21          112.56248458         83.87054796         28.69193662        403.39445077        168.12181021      16852.88450416          0.00000000
      22          111.74723917         99.31270130         12.43453787        262.91753481        199.07621359      25772.73128345          0.00000000
      23          111.96872789         99.01832790         12.95039999        368.86020046        198.48613054      29284.71723671          0.00000000
      24          112.92904320         85.96547214         26.96357106        541.54050663        172.32116807      27268.58836127          0.00000000
      25          113.56686267         73.36071608         40.20614660        605.09458381        147.05443907      23261.31932569          0.00000000
      26          113.26148722         70.16174477         43.09974245        528.23100085        140.64197534      20396.84258303          0.00000000
      27          112.51264695         72.57393002         39.93871694        384.05165046        145.47729548      18822.97891725          0.00000000
      28          112.31195086         70.72411579         41.58783507        381.02331495        141.76927016      17154.62733979          0.00000000
      29          112.94812517         62.00234984         50.94577532        544.80197811        124.28614748      15630.05917297          0.00000000
      30          113.66669511         54.96671397         58.69998114        665.47694267        110.18293881      16787.00328574          0.00000000
      31          113.59227149         59.24196586         54.35030563        648.99742443        118.75284928      22618.03004620          0.00000000
      32          112.77061124         73.70982590         39.06078534        501.27159849        147.75424343      31413.04858527          0.00000000
      33          112.08392363         87.01612556         25.06779807        328.01929213        174.42724416      38125.72770189          0.00000000
      34          112.23034853         89.53881341         22.69153511        351.02336937        179.48407112      38368.81163081          0.00000000
      35          112.96859851         83.01671134         29.95188717        500.55427191        166.41026114      31993.58282080          0.00000000
      36          113.43464501         77.37985524         36.05478978        572.51406389        155.11096151      22624.24078658          0.00000000
      37          113.13504132         79.00469633         34.13034499        514.69169258        158.36801936      14059.55048807          0.00000000
      38          112.49086626         83.95607929         28.53478697        371.32249697        168.29326111       7649.79984617          0.00000000
      39          112.32069878         83.64073226         28.67996652        302.39721483        167.66113561       3063.29962116          0.00000000
      40          112.85876466         75.82856370         37.03020096        411.78604421        152.00133664        706.23361754          0.00000000
      41          113.47730907         67.80501314         45.67229593        520.30724833        135.91781414       2428.06643079          0.00000000
      42          113.45944105         67.96741096         45.49203009        525.40473843        136.24334697       9457.78046670          0.00000000
      43          112.83769343         76.08045177         36.75724166        437.70266455        152.50625618      19877.44355703          0.00000000
