     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa
       0          127.65181585        145.66518233        -18.01336648         10.39672799        291.99158385      19740.86554881
       1          128.49972639        133.08568715         -4.58596076        355.63170421        266.77549129      26914.41827576
       2          130.10246492        106.75022166         23.35224325        605.53685965        213.98501551      25239.75836465
       3          130.77663617         88.78695133         41.98968484        678.76849263        177.97693403      19997.35129591
       4          129.94922191         88.85723567         41.09198623        571.93895847        178.11782175      14830.65310894
       5          128.74456852         96.17820904         32.56635948        386.51595475        192.79300063       9067.43649048
       6          128.64991934         94.67900899         33.97091036        398.13684013        189.78779520       1205.30587498
       7          129.79380348         83.17098918         46.62281430        601.18595528        166.71951713      -6380.26452463
       8          130.79668926         77.08559704         53.71109221        726.29262166        154.52110939      -7798.96149370
       9          130.37114331         89.77145802         40.59968529        672.18820451        179.95041638        698.87371333
      10          128.83132763        115.08038763         13.75094001        442.31343997        230.68316063      15938.80604717
      11          127.76732029        131.70778231         -3.94046202        160.81173444        264.01342687      29548.22031568
      12          128.27493259        124.92488912          3.35004347        346.52986217        250.41685084      34910.97397341
      13          129.75484470        101.60793497         28.14690972        609.04557598        203.67709971      32284.64209684
      14          130.61370421         82.11828329         48.49542092        714.25595516        164.60932680      26995.85805196
      15          130.05084908         78.53726177         51.51358731        639.60371880        157.43102840      23261.62781090
      16          128.90923731         83.63132815         45.27790916        462.58413519        167.64228470      20711.09923840
      17          128.64422184         82.18750874         46.45671310        407.27371015        164.74809194      17032.74098798
      18          129.60963369         70.71178183         58.89785186        563.15277348        141.74454625      12854.93194078
      19          130.64864265         62.23081639         68.41782626        689.02416223        124.74411764      12543.53138325
      20          130.45677044         70.64221012         59.81456032        658.30865398        141.60508702      19631.96239611
      21          129.12301364         93.08521457         36.03779908        470.60153382        186.59297164      32089.98647409
      22          128.06025662        111.22798133         16.83227530        265.83121012        222.96086077      43061.33314164
      23          128.39586500        110.47994225         17.91592276        381.20607496        221.46138703      46587.17028444
      24          129.67084944         95.25290348         34.41794597        592.18861059        190.93818926      42397.27769386
      25          130.43255347         82.90119233         47.53136114        669.28828845        166.17869875      35197.99074897
      26          129.95234444         84.13758663         45.81475781        578.25381637        168.65709973      29533.15808803
      27          128.92941850         92.72036865         36.20904985        392.70646759        185.86162365      25770.64516255
      28          128.61019447         94.77468276         33.83551170        355.81593482        189.97957704      21690.16056731
      29          129.37137209         85.84194236         43.52942973        541.14904754        172.07354778      17090.69827291
      30          130.31498269         76.10124321         54.21373948        684.56711687        152.54793344      15261.75181851
      31          130.33147057         78.23239105         52.09907951        674.67020153        156.81990306      19439.21623891
      32          129.38296387         92.33785988         37.04510399        515.60902245        185.09486978      28500.20790582
      33          128.52956326        105.39230092         23.13726233        329.11125593        211.26301001      37084.31823898
      34          128.69622534        105.63686787         23.05935747        381.46901709        211.75325407      40238.29757728
      35          129.62640455         95.20050612         34.42589843        560.04964249        190.83315671      37585.05482673
      36          130.22465874         86.71711593         43.50754281        636.44536424        173.82786760      32723.92543352
      37          129.84540910         88.48198782         41.36342128        559.85579780        177.36562267      29011.99461346
      38          129.01219827         95.60609468         33.40610359        392.52348375        191.64617491      26690.44878752
      39          128.75423522         96.98408561         31.77014960        350.37931490        194.40841190      24248.05640573
      40          129.37075871         89.14879120         40.22196751        512.70466315        178.70225626      21725.65194606
      41          130.10263020         80.36557569         49.73705451        644.64374440        161.09595551      21568.40568008
      42          130.07134067         80.47361574         49.59772493        639.62180249        161.31252605      25807.96136572
      43          129.32584529         89.04215285         40.28369243        510.15689279        178.48849551      32929.80572346
      44          128.75934856         95.98505106         32.77429750        388.51424481        192.40580788      38373.82222919
