     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0          139.53718105        134.04166822          5.49551284        361.72427088        238.83714926       7715.51530874          0.00000000
       1          136.06093853        104.23196380         31.82897473        565.97731293        185.72183880      -8333.86558452          0.00000000
       2          126.61533944         82.11111344         44.50422600        584.26071600        146.30662627     -17909.76191554          0.00000000
       3          116.29130782         75.26259162         41.02871621        464.16025445        134.10384298     -17103.98723565          0.00000000
       4          109.63901541         75.34281880         34.29619661        336.84968748        134.24679279      -9072.38507044          0.00000000
       5          106.27076249         73.28672644         32.98403606        358.95531559        130.58322127        765.06814149          0.00000000
       6          102.91910751         69.66296404         33.25614348        444.18384898        124.12635534       9213.00884680          0.00000000
       7           97.89747043         70.79913597         27.09833446        455.34627991        126.15080094      15583.18828063          0.00000000
       8           92.59854544         78.97007867         13.62846677        364.75138726        140.70989057      19448.80387658          0.00000000
       9           89.26211343         88.97360644          0.28850700        207.20361541        158.53430358      19573.30982438          0.00000000
      10           88.33937574         93.47198529         -5.13260955         91.87111616        166.54957222      15167.25178014          0.00000000
      11           88.29736872         89.72141083         -1.42404211        182.68727732        159.86675095       7520.12601973          0.00000000
      12           87.43553403         80.73572686          6.69980717        265.04104312        143.85594497       -138.99395269          0.00000000
      13           85.36922292         71.27311896         14.09610397        285.69325027        126.99534985      -4502.97038686          0.00000000
      14           82.83936783         63.90606409         18.93330374        267.11450319        113.86863779      -4007.45899819          0.00000000
      15           80.56749356         58.66301708         21.90447648        252.94043951        104.52650994        770.53039300          0.00000000
      16           78.59408148         55.08555133         23.50853015        264.79046535         98.15213597       7973.71466436          0.00000000
      17           76.58994378         53.56967063         23.02027316        279.66804713         95.45112046      15520.47181115          0.00000000
      18           74.48010875         54.71674062         19.76336813        270.76795688         97.49498437      21651.65967560          0.00000000
      19           72.59872754         58.02509053         14.57363701        234.18156210        103.38984431      25080.05546888          0.00000000
      20           71.31516324         61.69141673          9.62374652        186.63065333        109.92255095      25151.63756063          0.00000000
      21           70.64699920         63.72816367          6.91883553        154.32295497        113.55165256      22099.86864397          0.00000000
      22           70.26154720         63.19808727          7.06345994        149.08205839        112.60715568      17108.56021260          0.00000000
      23           69.77984353         60.49655933          9.28328420        155.57688653        107.79353885      11951.45493118          0.00000000
      24           69.03170826         56.72352133         12.30818693        161.02966420        101.07069174       8330.34568631          0.00000000
      25           68.06180805         52.92807295         15.13373510        168.55457674         94.30791356       7275.86705339          0.00000000
      26           66.97917788         49.80178108         17.17739680        183.32724754         88.73744695       8894.71900776          0.00000000
      27           65.84874640         47.76013148         18.08861492        200.62872730         85.09960971      12486.27609028          0.00000000
      28           64.70272871         47.04125519         17.66147352        210.42664362         83.81870680      16868.54856433          0.00000000
      29           63.59776229         47.64324882         15.95451347        206.50601896         84.89134670      20748.56286892          0.00000000
      30           62.62210223         49.23270553         13.38939670        189.46949710         87.72346089      23054.58689406          0.00000000
      31           61.84386918         51.21482932         10.62903985        165.15946128         91.25523427      23194.68416451          0.00000000
      32           61.26227320         52.97016902          8.29210419        141.29746836         94.38292086      21195.22209848          0.00000000
      33           60.81083428         54.09372689          6.71710739        123.95266739         96.38489057      17666.56281056          0.00000000
      34           60.40288258         54.48659142          5.91629116        115.51387402         97.08490160      13590.19910270          0.00000000
      35           59.97605979         54.28787591          5.68818388        115.41903222         96.73082777       9999.46665883          0.00000000
      36           59.50706264         53.74024052          5.76682212        121.84674082         95.75504406       7672.82772564          0.00000000
      37           59.00066787         53.08178066          5.91888721        132.11019492         94.58179191       6942.23818213          0.00000000
      38           58.47306909         52.49421987          5.97884922        142.93939563         93.53486863       7659.90580779          0.00000000
      39           57.94232406         52.08922497          5.85309909        151.52719188         92.81324355       9306.04287215          0.00000000
      40           57.42510921         51.91054512          5.51456409        156.30558865         92.49486953      11183.15979293          0.00000000
      41           56.93428051         51.94600540          4.98827511        156.83224077         92.55805311      12630.97227432          0.00000000
      42           56.47590289         52.14988561          4.32601729        153.15531029         92.92132945      13202.17013900          0.00000000
      43           56.04855441         52.46881719          3.57973722        145.34926253         93.48960580      12757.03035187          0.00000000
      44           55.64667781         52.85818345          2.78849436        133.63373666         94.18338356      11460.68368788          0.00000000
      45           55.26593172         53.28157440          1.98435733        118.96068126         94.93778693       9695.47597516          0.00000000
      46           54.90663310         53.69850237          1.20813073        103.65047507         95.68067449       7924.01139753          0.00000000
      47           54.57304450         54.05388363          0.51916087         91.55685929         96.31389734       6548.61618399          0.00000000
      48           54.26938558         54.28069467         -0.01130909         86.75708905         96.71803214       5807.78065567          0.00000000
      49           53.99537786         54.31772651         -0.32234865         90.32040312         96.78401594       5733.39491887          0.00000000
      50           53.74395072         54.13472011         -0.39076939         99.10348249         96.45793282       6171.52431521          0.00000000
      51           53.50223100         53.75273783         -0.25050683        108.78357332         95.77731193       6851.19473157          0.00000000
      52           53.25530411         53.24950843          0.00579568        116.28157986         94.88065139       7474.86305641          0.00000000
      53           52.99118453         52.74560655          0.24557798        119.98022410         93.98279260       7802.53082153          0.00000000
      54           52.70514135         52.37454036          0.33060099        119.28372355         93.32162215       7707.67643215          0.00000000
      55           52.40188799         52.24540921          0.15647878        114.26079541         93.09153462       7194.29783984          0.00000000
      56           52.09491407         52.40924387         -0.31432980        105.45492782         93.38345730       6376.57076617          0.00000000
      57           51.80309480         52.83928669         -1.03619189         93.83797805         94.14971306       5432.50258410          0.00000000
      58           51.54542342         53.43198626         -1.88656284         80.92228355         95.20579270       4548.23269576          0.00000000
      59           51.33521656         54.03022139         -2.69500483         69.05961686         96.27173566       3869.53788674          0.00000000
      60           51.17543205         54.46408247         -3.28865042         61.62606743         97.04479486       3472.37936238          0.00000000
      61           51.05668489         54.59871280         -3.54202790         61.68176922         97.28468088       3356.92993624          0.00000000
      62           50.95895179         54.37519729         -3.41624551         68.88870595         96.88641812       3462.03876598          0.00000000
      63           50.85682340         53.83118486         -2.97436146         79.65361922         95.91708985       3691.89475167          0.00000000
      64           50.72686727         53.09340779         -2.36654052         90.22255686         94.60250928       3945.02669744          0.00000000
      65           50.55477743         52.34300743         -1.78823000         97.96983854         93.26543637       4137.55036499          0.00000000
      66           50.33993147         51.76352168         -1.42359021        101.31467540         92.23290129       4216.38800400          0.00000000
      67           50.09578503         51.48730772         -1.39152268         99.52340299         91.74073974       4162.27173679          0.00000000
      68           49.84589205         51.55698516         -1.71109311         92.61888252         91.86489190       3985.25870086          0.00000000
      69           49.61677268         51.91389935         -2.29712667         81.37044087         92.50084613       3716.55708097          0.00000000
      70           49.42989347         52.41708436         -2.98719089         67.39431351         93.39742759       3399.83096083          0.00000000
      71           49.29532700         52.88651338         -3.59118639         53.52142221         94.23386219       3083.56909050          0.00000000
      72           49.20908629         53.15680876         -3.94772247         44.41521065         94.71547792       2814.55736536          0.00000000
      73           49.15486095         53.12466321         -3.96980225         44.80134975         94.65820057       2631.77912986          0.00000000
      74           49.10939239         52.77590790         -3.66651552         53.31924540         94.03678394       2560.42203073          0.00000000
      75           49.04959346         52.18524273         -3.13564928         64.39997493         92.98432922       2606.69572642          0.00000000
      76           48.95913760         51.49037571         -2.53123811         74.10094394         91.74620633       2755.08149067          0.00000000
      77           48.83263013         50.84971037         -2.01708024         80.44962625         90.60466068       2969.74519829          0.00000000
      78           48.67640230         50.39671484         -1.72031254         82.57996485         89.79750747       3200.95526201          0.00000000
      79           48.50594632         50.20405094         -1.69810461         80.30320332         89.45421649       3395.74531324          0.00000000
      80           48.34093911         50.26695253         -1.92601342         73.94090867         89.56629535       3510.48451888          0.00000000
      81           48.19935452         50.50943923         -2.31008471         64.28465566         89.99836123       3522.03168282          0.00000000
      82           48.09236697         50.81033865         -2.71797169         52.68218633         90.53450765       3434.18198466          0.00000000
      83           48.02148758         51.04054919         -3.01906161         41.37990442         90.94469971       3277.18650087          0.00000000
      84           47.97868195         51.10011374         -3.12143179         34.13752197         91.05083258       3099.97638369          0.00000000
      85           47.94927855         50.94437539         -2.99509683         34.81143574         90.77333601       2956.85601525          0.00000000
      86           47.91661238         50.59244563         -2.67583325         42.10956886         90.14626308       2892.20878126          0.00000000
      87           47.86687959         50.11697771         -2.25009812         51.43320387         89.29906831       2927.58168981          0.00000000
      88           47.79275385         49.61978997         -1.82703613         59.65814149         88.41317287       3055.02300248          0.00000000
      89           47.69484421         49.20150076         -1.50665656         65.22095344         87.66785984       3238.80468867          0.00000000
      90           47.58080973         48.93418256         -1.35337283         67.41279540         87.19154886       3425.18225388          0.00000000
