     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0            6.22165583         22.82995039        -16.60829456         46.11398126         45.76353297       3486.20470569          0.00000000
       1            6.12123463         22.09164792        -15.97041329         90.65238770         44.28357665       3614.80237081          0.00000000
       2            6.63395912         21.62382694        -14.98986782        132.04475765         43.34581111       3684.44210449          0.00000000
       3            6.52800450         20.27451266        -13.74650817        169.84329129         40.64105760       3546.65494263          0.00000000
       4            6.17617551         18.54723965        -12.37106414        202.53805883         37.17867094       3279.40850673          0.00000000
       5            6.02870068         17.02618209        -10.99748141        229.18061573         34.12965127       2981.19868216          0.00000000
       6            5.72694814         15.45957943         -9.73263129        249.40949487         30.98933466       2636.38292695          0.00000000
       7            5.62475136         14.30219110         -8.67743974        262.78933571         28.66930425       2324.77647624          0.00000000
       8            5.45157425         13.34128059         -7.88970633        269.32281622         26.74312137       2032.24343442          0.00000000
       9            5.13393450         12.53892325         -7.40498875        269.09166629         25.13476455       1764.91277482          0.00000000
      10            4.89348581         12.11895675         -7.22547094        262.45681173         24.29292518       1562.80419738          0.00000000
      11            4.80807921         12.12446862         -7.31638941        250.06822848         24.30397394       1436.21660484          0.00000000
      12            4.72116526         12.33908463         -7.61791937        232.82094737         24.73418018       1354.96314630          0.00000000
      13            4.72926217         12.78164688         -8.05238471        212.05825024         25.62131359       1319.31570377          0.00000000
      14            4.61089045         13.14498174         -8.53409129        189.58890580         26.34963261       1282.17305652          0.00000000
      15            4.34775637         13.32434995         -8.97659358        168.10441785         26.70918323       1224.90957339          0.00000000
      16            4.16323235         13.47171526         -9.30848291        151.04604750         27.00458279       1165.18984826          0.00000000
      17            4.11533393         13.59851611         -9.48318218        141.96137878         27.25876008       1102.17328132          0.00000000
      18            4.04456433         13.52217893         -9.47761460        143.18460608         27.10573920       1010.28672434          0.00000000
      19            3.92767378         13.22228636         -9.29461259        154.13108181         26.50459276        889.39158145          0.00000000
      20            3.77416606         12.73898819         -8.96482213        171.62259962         25.53580258        750.47137619          0.00000000
      21            3.66340935         12.20539780         -8.54198845        191.94220443         24.46619966        619.66078062          0.00000000
      22            3.53714268         11.63039233         -8.09324965        212.14628504         23.31357860        507.14443035          0.00000000
      23            3.10088487         10.79400176         -7.69311689        230.09789386         21.63700081        391.66176563          0.00000000
      24            2.89174565         10.31316991         -7.42142426        244.06111400         20.67315449        366.85697078          0.00000000
      25            2.73031663         10.06538701         -7.33507038        253.25481866         20.17646392        423.36404685          0.00000000
      26            2.89730512         10.37295605         -7.47565093        257.10729227         20.79299815        609.08053467          0.00000000
      27            2.95865480         10.82263239         -7.86397759        255.36787257         21.69439205        868.65139186          0.00000000
      28            2.93478186         11.43037163         -8.49558977        247.88311876         22.91262923       1199.28957293          0.00000000
      29            2.55792832         11.89728197         -9.33935365        234.77361443         23.84856937       1550.73542973          0.00000000
      30            2.64743664         12.97977747        -10.33234082        216.55594505         26.01847415       2012.73810818          0.00000000
      31            2.71473993         14.13639035        -11.42165042        193.49351142         28.33695013       2500.00880088          0.00000000
      32            2.61606008         15.14124051        -12.52518043        166.34520331         30.35121179       2965.67487477          0.00000000
      33            2.28276217         15.83712766        -13.55436549        136.25829969         31.74614492       3369.79989551          0.00000000
      34            2.34471290         16.77378523        -14.42907233        104.85680650         33.62371185       3771.36203890          0.00000000
      35            2.43423463         17.53346828        -15.09923364         74.21686048         35.14652637       4102.08913537          0.00000000
      36            2.63995039         18.15992138        -15.51997099         50.46063565         36.40227624       4358.53196329          0.00000000
      37            2.50678776         18.17507367        -15.66828591         47.81809676         36.43264961       4468.29952733          0.00000000
      38            2.07662233         17.62177989        -15.54515757         67.89616319         35.32355048       4434.38515172          0.00000000
      39            1.71418901         16.89785759        -15.18366858         95.14077168         33.87241976       4315.14396520          0.00000000
      40            1.71351783         16.34887931        -14.63536148        122.32652272         32.77197123       4167.04603679          0.00000000
      41            1.75167931         15.70539958        -13.95372028        147.24709155         31.48209081       3963.19792360          0.00000000
      42            1.33897175         14.53887795        -13.19990620        168.73821730         29.14375235       3655.54946627          0.00000000
      43            1.49107035         13.94133298        -12.45026263        185.75871988         27.94594997       3409.90172823          0.00000000
      44            1.28701762         13.03233267        -11.74531505        198.28912080         26.12382312       3116.64208064          0.00000000
      45            1.14807620         12.28735611        -11.13927991        205.93723029         24.63048832       2853.99902920          0.00000000
      46            0.79274468         11.45246604        -10.65972136        208.75463152         22.95691835       2598.05687552          0.00000000
      47            0.91043064         11.23431243        -10.32388178        206.92873138         22.51962086       2456.03842533          0.00000000
      48            0.63314880         10.75067182        -10.11752302        200.90099274         21.55014426       2310.11053165          0.00000000
      49            0.46804321         10.49416581        -10.02612261        191.37889019         21.03596788       2232.24247579          0.00000000
      50            0.31618716         10.33384274        -10.01765559        179.22965726         20.71459399       2205.45252029          0.00000000
      51            0.39438408         10.44883851        -10.05445443        165.62860276         20.94510752       2253.37966570          0.00000000
      52            0.39772218         10.49383680        -10.09611462        151.96868624         21.03530836       2325.91358429          0.00000000
      53            0.17839462         10.28370764        -10.10531303        140.17464833         20.61409621       2393.79903242          0.00000000
      54            0.33267133         10.38810132        -10.05542999        132.29171135         20.82335744       2531.48301664          0.00000000
      55            0.42566643         10.35367559         -9.92800915        129.75085791         20.75434970       2675.20275249          0.00000000
      56            0.43386175         10.15133834         -9.71747659        133.12465254         20.34875673       2817.60047502          0.00000000
      57            0.44287120          9.87705762         -9.43418642        141.49486397         19.79895026       2969.43926725          0.00000000
      58            0.57917054          9.68013216         -9.10096162        153.03067186         19.40420543       3150.62979819          0.00000000
