     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
       0           55.72200620         52.97354972          2.74845647          3.27457392        303.39303636       7391.08698618          0.00000000
       1           56.02532579         48.45041658          7.57490921        204.35133956        277.48789873      26320.64915950          0.00000000
       2           56.66821824         38.79628369         17.87193454        351.56100289        222.19621625      36967.23922315          0.00000000
       3           57.12899306         30.85333674         26.27565632        413.04845436        176.70493226      37687.95717910          0.00000000
       4           57.21493098         27.83124177         29.38368922        396.87711399        159.39662322      28932.10224739          0.00000000
       5           57.19744219         27.26311466         29.93432753        356.70844286        156.14281430      12728.38448578          0.00000000
       6           57.42933910         25.27952399         32.14981511        364.87397568        144.78228439      -6960.02759562          0.00000000
       7           57.90182508         21.88463375         36.01719133        417.54832227        125.33888172     -24271.25816148          0.00000000
       8           58.24214115         21.12437936         37.11776180        444.46203827        120.98471083     -33152.03098127          0.00000000
       9           58.14356759         26.07100003         32.07256756        400.94806119        149.31526963     -30230.14949191          0.00000000
      10           57.73677516         34.48533590         23.25143926        293.01834301        197.50631822     -16748.25716894          0.00000000
      11           57.48119155         40.27097555         17.21021600        199.28994660        230.64215282       2100.09619651          0.00000000
      12           57.69107666         39.34525636         18.34582029        253.07180243        225.34032280      19942.21344263          0.00000000
      13           58.21672044         33.60318089         24.61353954        362.61768651        192.45399140      31942.70761925          0.00000000
      14           58.62559207         28.73163515         29.89395691        419.84922165        164.55340590      35763.45266806          0.00000000
      15           58.67167698         28.35992990         30.31174708        405.56046935        162.42455505      31017.19517873          0.00000000
      16           58.53221832         30.89507979         27.63713853        354.75236496        176.94400537      18725.36187437          0.00000000
      17           58.56740882         32.20141638         26.36599244        337.38208037        184.42572834       1600.50192786          0.00000000
      18           58.89331095         30.76672757         28.12658338        376.36042749        176.20889945     -15656.61361227          0.00000000
      19           59.25337463         29.43356151         29.81981313        409.69671879        168.57351723     -27391.73436526          0.00000000
      20           59.32617949         31.85954721         27.46663227        383.65636796        182.46775639     -29435.18237185          0.00000000
      21           59.11401820         37.87318144         21.24083676        296.47863605        216.90937409     -21323.35517604          0.00000000
      22           58.96922628         43.07532800         15.89389827        220.39704073        246.70339488      -6507.72232889          0.00000000
      23           59.22599565         43.18871595         16.03727970        276.62676478        247.35279657       9605.32353128          0.00000000
      24           59.84829533         38.34045647         21.50783886        395.13059435        219.58557744      22165.31037959          0.00000000
      25           60.47983287         32.64350739         27.83632547        473.72863171        186.95769640      28210.13980564          0.00000000
      26           60.82620345         29.75865842         31.06754503        484.90053065        170.43543021      26589.15897444          0.00000000
      27           60.93793957         29.45932378         31.47861580        447.74987963        168.72106432      17585.40393677          0.00000000
      28           61.09541480         28.81432280         32.28109200        410.61884867        165.02697913       3110.89941793          0.00000000
      29           61.45091466         26.28322336         35.16769129        408.57661388        150.53072682     -12969.73171721          0.00000000
      30           61.84203077         23.86191418         37.98011659        419.43232478        136.66327129     -25531.11909149          0.00000000
      31           61.97872415         24.83180294         37.14692121        399.34019161        142.21807168     -30203.36528231          0.00000000
      32           61.77964583         29.75471499         32.02493083        336.98478496        170.41284519     -25539.62994385          0.00000000
      33           61.47284402         35.34426582         26.12857821        274.81481648        202.42562902     -13700.48101683          0.00000000
      34           61.35138466         37.57333440         23.77805026        287.82135550        215.19207361        835.78424646          0.00000000
      35           61.46576462         35.61666959         25.84909503        359.37414639        203.98575496      13427.81073156          0.00000000
      36           61.59864519         32.34550967         29.25313552        411.21626298        185.25098739      20744.59747628          0.00000000
      37           61.53877493         30.99634159         30.54243335        409.07398262        177.52395751      21053.16142713          0.00000000
      38           61.33360603         31.83634071         29.49726532        368.61815249        182.33484685      14057.57325781          0.00000000
      39           61.23651051         32.43951102         28.79699949        342.90088419        185.78935713       1096.12170093          0.00000000
      40           61.42019781         30.97269822         30.44749959        368.46481240        177.38854593     -14513.26147887          0.00000000
      41           61.78993719         28.56084773         33.22908946        409.76742609        163.57526276     -27932.71487254          0.00000000
      42           62.10611610         28.05127697         34.05483913        415.36749318        160.65682097     -34498.00426938          0.00000000
      43           62.26962571         30.71128628         31.55833942        370.41786045        175.89137306     -31803.28784257          0.00000000
      44           62.44419214         34.69692550         27.74726663        304.50046731        198.71814586     -20736.84589652          0.00000000
      45           62.88181852         37.00660389         25.87521463        279.69347424        211.94626337      -4804.61717524          0.00000000
      46           63.65343901         36.64571029         27.00772872        313.63698740        209.87933360      11561.56119554          0.00000000
      47           64.58540926         35.44157047         29.14383879        347.73808778        202.98291758      24450.25109648          0.00000000
      48           65.46131235         35.71401743         29.74729493        340.45892852        204.54329086      31086.01768149          0.00000000
      49           66.25153988         37.55624614         28.69529374        299.77114184        215.09420478      30032.61287392          0.00000000
      50           67.11575223         38.79160364         28.32414859        277.09214993        222.16941238      21579.66298299          0.00000000
      51           68.19046354         37.54172731         30.64873624        313.52357520        215.01105170       8178.15679541          0.00000000
