A1,A2,A3,  th0      , cth
HW ,OW  ,HW   ,104.520,836.800
HW ,HW  ,OW   ,127.740,0.000
C  ,C   ,O    ,120.000,669.440
C  ,C   ,OH   ,120.000,669.440
CA ,C   ,CA   ,120.000,527.184
CA ,C   ,OH   ,120.000,585.760
CA ,C   ,OS   ,120.000,585.760
CC ,NA  ,P    ,125.100,641.826
CR ,NA  ,P    ,125.100,641.826
NA ,P   ,OP   ,102.380,358.987
CB ,C   ,NA   ,111.300,585.760
CB ,C   ,O    ,128.800,669.440
CM ,C   ,NA   ,114.100,585.760
CM ,C   ,O    ,125.300,669.440
CS ,C   ,NA   ,114.100,585.760
CS ,C   ,O    ,125.300,669.440
CT ,C   ,O    ,120.400,669.440
CX ,C   ,O    ,120.400,669.440
CT ,C   ,O2   ,117.000,585.760
CX ,C   ,O2   ,117.000,585.760
CT ,C   ,N    ,116.600,585.760
CX ,C   ,N    ,116.600,585.760
CT ,C   ,CT   ,117.000,527.184
CT ,C   ,OS   ,115.000,669.440
CT ,C   ,OH   ,110.000,669.440
CX ,C   ,OH   ,110.000,669.440
N* ,C   ,NA   ,115.400,585.760
N* ,C   ,NC   ,118.600,585.760
N* ,C   ,O    ,120.900,669.440
NA ,C   ,O    ,120.600,669.440
NC ,C   ,O    ,122.500,669.440
N  ,C   ,O    ,122.900,669.440
O  ,C   ,O    ,126.000,669.440
O  ,C   ,OH   ,120.000,669.440
O  ,C   ,OS   ,125.000,669.440
O2 ,C   ,O2   ,126.000,669.440
H4 ,C   ,C    ,120.000,418.400
H4 ,C   ,CM   ,115.000,418.400
H4 ,C   ,CS   ,115.000,418.400
H4 ,C   ,CT   ,115.000,418.400
H4 ,C   ,O    ,120.000,418.400
H4 ,C   ,OH   ,120.000,418.400
H5 ,C   ,N    ,120.000,418.400
H5 ,C   ,O    ,119.000,418.400
H5 ,C   ,OH   ,107.000,418.400
H5 ,C   ,OS   ,107.000,418.400
C  ,CA  ,CA   ,120.000,527.184
C  ,CA  ,HA   ,120.000,418.400
CA ,CA  ,CA   ,120.000,527.184
CA ,CA  ,CB   ,120.000,527.184
CA ,CA  ,CT   ,120.000,585.760
CA ,CA  ,HA   ,120.000,418.400
CA ,CA  ,H4   ,120.000,418.400
CA ,CA  ,OH   ,120.000,585.760
CA ,CA  ,CN   ,120.000,527.184
CB ,CA  ,HA   ,120.000,418.400
CB ,CA  ,H4   ,120.000,418.400
CB ,CA  ,N2   ,123.500,585.760
CB ,CA  ,NC   ,117.300,585.760
CM ,CA  ,N2   ,120.100,585.760
CM ,CA  ,NC   ,121.500,585.760
CS ,CA  ,N2   ,120.100,585.760
CS ,CA  ,NC   ,121.500,585.760
CN ,CA  ,HA   ,120.000,418.400
NA ,CA  ,NC   ,123.300,585.760
N2 ,CA  ,NA   ,116.000,585.760
N2 ,CA  ,NC   ,119.300,585.760
N2 ,CA  ,N2   ,120.000,585.760
F  ,CA  ,CA   ,121.000,585.760
Cl ,CA  ,CA   ,118.800,585.760
Br ,CA  ,CA   ,118.800,585.760
I  ,CA  ,CA   ,118.800,585.760
C  ,CB  ,CB   ,119.200,527.184
C  ,CB  ,NB   ,130.000,585.760
CA ,CB  ,CB   ,117.300,527.184
CA ,CB  ,NB   ,132.400,585.760
CB ,CB  ,N*   ,106.200,585.760
CB ,CB  ,NB   ,110.400,585.760
CB ,CB  ,NC   ,127.700,585.760
C* ,CB  ,CA   ,134.900,527.184
C* ,CB  ,CN   ,108.800,527.184
CA ,CB  ,CN   ,116.200,527.184
N* ,CB  ,NC   ,126.200,585.760
CD ,CD  ,CM   ,120.000,527.184
CD ,CD  ,CS   ,120.000,527.184
CD ,CD  ,CT   ,120.000,585.760
CM ,CD  ,CT   ,120.000,585.760
CS ,CD  ,CT   ,120.000,585.760
HA ,CD  ,HA   ,119.000,292.880
HA ,CD  ,CD   ,120.000,418.400
HA ,CD  ,CM   ,120.000,418.400
HA ,CD  ,CS   ,120.000,418.400
H5 ,CK  ,N*   ,123.050,418.400
H5 ,CK  ,NB   ,123.050,418.400
N* ,CK  ,NB   ,113.900,585.760
H5 ,CP  ,N*   ,123.050,418.400
H5 ,CP  ,NB   ,123.050,418.400
N* ,CP  ,NB   ,113.900,585.760
C  ,CM  ,CM   ,120.700,527.184
C  ,CM  ,CT   ,119.700,585.760
C  ,CM  ,HA   ,119.700,418.400
C  ,CM  ,H4   ,119.700,418.400
CA ,CM  ,CM   ,117.000,527.184
CA ,CM  ,HA   ,123.300,418.400
CA ,CM  ,H4   ,123.300,418.400
CM ,CM  ,CT   ,119.700,585.760
CM ,CM  ,HA   ,119.700,418.400
CM ,CM  ,H4   ,119.700,418.400
CM ,CM  ,N*   ,121.200,585.760
CM ,CM  ,OS   ,125.000,669.440
H4 ,CM  ,N*   ,119.100,418.400
H4 ,CM  ,OS   ,113.000,418.400
HA ,CM  ,HA   ,120.000,292.880
HA ,CM  ,CD   ,120.000,418.400
HA ,CM  ,CT   ,120.000,418.400
C  ,CS  ,CS   ,120.700,527.184
C  ,CS  ,CT   ,119.700,585.760
C  ,CS  ,HA   ,119.700,418.400
C  ,CS  ,H4   ,119.700,418.400
CA ,CS  ,CS   ,117.000,527.184
CA ,CS  ,HA   ,123.300,418.400
CA ,CS  ,H4   ,123.300,418.400
CM ,CS  ,CT   ,119.700,585.760
CS ,CS  ,HA   ,119.700,418.400
CS ,CS  ,H4   ,119.700,418.400
CS ,CS  ,N*   ,121.200,585.760
CS ,CS  ,OS   ,125.000,669.440
H4 ,CS  ,N*   ,119.100,418.400
H4 ,CS  ,OS   ,113.000,418.400
HA ,CS  ,HA   ,120.000,292.880
HA ,CS  ,CD   ,120.000,418.400
HA ,CS  ,CT   ,120.000,418.400
NC ,CQ  ,NC   ,129.100,585.760
H5 ,CQ  ,NC   ,115.450,418.400
H1 ,CT  ,H1   ,109.500,292.880
H1 ,CX  ,H1   ,109.500,292.880
H1 ,CT  ,N*   ,109.500,418.400
H1 ,CT  ,OH   ,109.500,418.400
H1 ,CT  ,OS   ,109.500,418.400
H1 ,CT  ,CM   ,109.500,418.400
H1 ,CT  ,CS   ,109.500,418.400
H1 ,CT  ,CY   ,110.000,418.400
H1 ,CT  ,CZ   ,110.000,418.400
H1 ,CT  ,N    ,109.500,418.400
H1 ,CX  ,N    ,109.500,418.400
H1 ,CT  ,S    ,109.500,418.400
H1 ,CT  ,SH   ,109.500,418.400
H1 ,CT  ,N2   ,109.500,418.400
H1 ,CT  ,NT   ,109.500,418.400
H2 ,CT  ,H2   ,109.500,292.880
H2 ,CT  ,N*   ,109.500,418.400
H2 ,CT  ,OS   ,109.500,418.400
HP ,CT  ,HP   ,109.500,292.880
HP ,CX  ,HP   ,109.500,292.880
HP ,CT  ,N3   ,109.500,418.400
HP ,CX  ,N3   ,109.500,418.400
HC ,CT  ,HC   ,109.500,292.880
HC ,CT  ,CM   ,109.500,418.400
HC ,CT  ,CS   ,109.500,418.400
HC ,CT  ,CD   ,109.500,418.400
HC ,CT  ,CZ   ,110.000,418.400
C  ,CT  ,H1   ,109.500,418.400
C  ,CX  ,H1   ,109.500,418.400
C  ,CT  ,HP   ,109.500,418.400
C  ,CX  ,HP   ,109.500,418.400
C  ,CT  ,HC   ,109.500,418.400
C  ,CT  ,N    ,110.100,527.184
C  ,CX  ,N    ,110.100,527.184
C  ,CT  ,N3   ,111.200,669.440
C  ,CX  ,N3   ,111.200,669.440
C  ,CT  ,CT   ,111.100,527.184
