A1,A2,A3,A4,div,phase,kd,pn
3C  ,CX  ,N,C,9,0.0,0.00000,4
 3C , CX ,N  ,C    ,9,0.0,3.34720,3
 3C , CX ,N  ,C    ,9,0.0,7.53120,2
 3C , CX ,N  ,C    ,9,0.0,8.36800,1
 2C , 2C ,S  ,CT   ,9,0.0,0.23849,4
 2C , 2C ,S  ,CT   ,9,0.0,1.73218,3
 2C , 2C ,S  ,CT   ,9,0.0,1.84933,2
 2C , 2C ,S  ,CT   ,9,180.0,1.03345,1
 2C , 2C ,CO ,O2   ,9,0.0,0.26778,4
 2C , 2C ,CO ,O2   ,9,180.0,1.63176,2
 2C , 2C ,C  ,OH   ,9,180.0,0.27614,4
 2C , 2C ,C  ,OH   ,9,180.0,0.10460,3
 2C , 2C ,C  ,OH   ,9,180.0,4.61914,2
 2C , 2C ,C  ,OH   ,9,180.0,3.44762,1
 2C , 2C ,C  ,O    ,9,0.0,0.00000,1
 2C , 2C ,C  ,N    ,9,0.0,0.17573,4
 2C , 2C ,C  ,N    ,9,180.0,0.35564,3
 2C , 2C ,C  ,N    ,9,180.0,3.53548,2
 2C , 2C ,C  ,N    ,9,180.0,2.54806,1
 2C , S  ,S  ,2C   ,9,0.0,1.58574,4
 2C , S  ,S  ,2C   ,9,0.0,2.85349,3
 2C , S  ,S  ,2C   ,9,0.0,18.74432,2
 2C , S  ,S  ,2C   ,9,0.0,1.75728,1
 2C , CX ,N  ,C    ,9,0.0,0.00000,4
 2C , CX ,N  ,C    ,9,0.0,3.34720,3
 2C , CX ,N  ,C    ,9,0.0,7.53120,2
 2C , CX ,N  ,C    ,9,0.0,8.36800,1
 2C , C  ,OH ,HO   ,9,0.0,0.47279,4
 2C , C  ,OH ,HO   ,9,0.0,2.00414,3
 2C , C  ,OH ,HO   ,9,180.0,11.32190,2
 2C , C  ,OH ,HO   ,9,180.0,1.87443,1
 2C , CC ,NB ,CR   ,9,180.0,10.04160,2
 2C , CC ,NA ,H    ,9,180.0,5.85760,2
 2C , CC ,NA ,CR   ,9,180.0,5.85760,2
 2C , CC ,CW ,NA   ,9,180.0,22.48900,2
 2C , CC ,CW ,H4   ,9,180.0,22.48900,2
 2C , CC ,CV ,NB   ,9,180.0,21.54760,2
 2C , CC ,CV ,H4   ,9,180.0,21.54760,2
 CX , 3C ,OH ,HO   ,9,0.0,0.05439,4
 CX , 3C ,OH ,HO   ,9,0.0,0.98742,3
 CX , 3C ,OH ,HO   ,9,0.0,1.05018,2
 CX , 3C ,OH ,HO   ,9,180.0,0.02510,1
 CX , 3C ,2C ,CT   ,9,0.0,0.96232,4
 CX , 3C ,2C ,CT   ,9,0.0,0.44769,3
 CX , 3C ,2C ,CT   ,9,0.0,0.22175,2
 CX , 3C ,2C ,CT   ,9,0.0,1.87025,1
 CT , 3C ,OH ,HO   ,9,0.0,0.20083,4
 CT , 3C ,OH ,HO   ,9,0.0,0.98742,3
 CT , 3C ,OH ,HO   ,9,180.0,0.33054,2
 CT , 3C ,OH ,HO   ,9,0.0,2.69031,1
 CT , 3C ,2C ,CT   ,9,0.0,0.93722,4
 CT , 3C ,2C ,CT   ,9,0.0,0.44769,3
 CT , 3C ,2C ,CT   ,9,180.0,0.32217,2
 CT , 3C ,2C ,CT   ,9,0.0,0.84517,1
 HC , 2C ,3C ,HC   ,9,0.0,0.62760,3
 HC , 2C ,3C ,CX   ,9,0.0,0.66944,3
 HC , 2C ,3C ,CT   ,9,0.0,0.66944,3
 HC , 2C ,2C ,HC   ,9,0.0,0.62760,3
 CX , 2C ,S  ,S    ,9,180.0,0.56484,4
 CX , 2C ,S  ,S    ,9,0.0,1.26357,3
 CX , 2C ,S  ,S    ,9,0.0,2.78654,2
 CX , 2C ,S  ,S    ,9,0.0,0.23430,1
 CX , 2C ,SH ,HS   ,9,0.0,0.12552,4
 CX , 2C ,SH ,HS   ,9,0.0,1.05437,3
 CX , 2C ,SH ,HS   ,9,0.0,2.56061,2
 CX , 2C ,SH ,HS   ,9,0.0,0.38493,1
 CX , 2C ,OH ,HO   ,9,0.0,0.02929,4
 CX , 2C ,OH ,HO   ,9,0.0,1.11713,3
 CX , 2C ,OH ,HO   ,9,0.0,1.85770,2
 CX , 2C ,OH ,HO   ,9,0.0,0.88282,1
 CX , 2C ,CO ,O2   ,9,180.0,0.12970,4
 CX , 2C ,CO ,O2   ,9,0.0,0.00000,3
 CX , 2C ,CO ,O2   ,9,180.0,3.21750,2
 CX , 2C ,CO ,O2   ,9,0.0,0.00000,1
 CX , 2C ,C  ,OH   ,9,180.0,0.83262,4
 CX , 2C ,C  ,OH   ,9,0.0,0.03347,3
 CX , 2C ,C  ,OH   ,9,180.0,2.40580,2
 CX , 2C ,C  ,OH   ,9,180.0,5.01662,1
 CX , 2C ,C  ,O    ,9,0.0,0.00000,1
 CX , 2C ,C  ,N    ,9,0.0,0.03347,4
 CX , 2C ,C  ,N    ,9,180.0,1.25938,3
 CX , 2C ,C  ,N    ,9,180.0,2.02924,2
 CX , 2C ,C  ,N    ,9,180.0,3.46435,1
 CX , 2C ,3C ,HC   ,9,0.0,0.66944,3
 CX , 2C ,3C ,CT   ,9,0.0,0.74894,4
 CX , 2C ,3C ,CT   ,9,0.0,0.59413,3
 CX , 2C ,3C ,CT   ,9,180.0,0.11297,2
 CX , 2C ,3C ,CT   ,9,0.0,1.58574,1
 CX , 2C ,2C ,S    ,9,0.0,0.11715,4
 CX , 2C ,2C ,S    ,9,0.0,0.06694,3
 CX , 2C ,2C ,S    ,9,0.0,1.02508,2
 CX , 2C ,2C ,S    ,9,0.0,1.74473,1
 CX , 2C ,2C ,HC   ,9,0.0,0.66944,3
 CX , 2C ,2C ,CO   ,9,180.0,0.23430,4
 CX , 2C ,2C ,CO   ,9,180.0,2.54387,3
 CX , 2C ,2C ,CO   ,9,180.0,0.92885,2
 CX , 2C ,2C ,CO   ,9,180.0,5.71953,1
 CX , 2C ,2C ,C    ,9,0.0,0.57739,4
 CX , 2C ,2C ,C    ,9,180.0,1.72381,3
 CX , 2C ,2C ,C    ,9,0.0,0.34727,2
 CX , 2C ,2C ,C    ,9,180.0,0.82006,1
